SerialNumber,09f4a6775af0a6f1db883e2aa2ee3ed6d76c6c79
TotalPlayTime,12097.54
TotalDeathCount,42
TotalKilledEnemies,450
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",138.53,87,0,880.00,28.53,30.8423,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",130.00,14,0,7,3,2,"C1TonpaMobPrefab (2)-AttackHitbox:20;C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:70;C1TonpaMobPrefab-AttackHitbox:20;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_2","",37.50,11,0,110.00,4.05,27.1618,5,0,60.00,5.98,10.0286,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",20.00,2,0,3,0,0,"C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_3","",205.75,141,0,801.00,46.17,17.3490,7,0,120.00,3.78,31.7192,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Staff};{order:3,from:Staff,to:Staff}",260.00,35,4,25,2,3,"C1PistolMobForDashTutorial-AttackHitbox:130;C1TonpaMobPrefab (4)-AttackHitbox:30;C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab (10)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:40;C1GunnerMobPrefab-RangedAttackHitbox:20;C1EliteTonpaMob-Attack:20"
"C1_Stage2_4","",105.66,51,0,990.00,14.95,66.2177,4,0,60.00,1.98,30.2511,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",100.00,3,0,20,0,0,"C1PistolMob-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab (12)-AttackHitbox:10;C1TonpaMobPrefab (16)-AttackHitbox:10;FallDamageArea (3)-:20;C1TonpaMobPrefab (17)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_5","",89.46,27,0,242.00,8.20,29.5115,13,0,69.00,11.52,5.9919,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",80.00,0,0,6,0,0,"C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1EliteTonpaMob-Attack:30;C1EliteTonpaMob-Rush Attack:20;C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (20)-AttackHitbox:10"
"C1_Stage2_6","",212.04,112,0,1550.00,32.35,47.9148,22,0,234.00,18.58,12.5918,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",210.00,0,0,16,0,1,"C1PistolMob-AttackHitbox:40;C1TonpaMobPrefab (1)-AttackHitbox:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:20;C1GunnerMobPrefab (3)-RangedAttackHitbox:30;C1TonpaMobPrefab (5)-AttackHitbox:10;C1TonpaMobPrefab (7)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:20;C1EliteTonpaMob-Rush Attack:30;C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_7","",722.51,137,0,569.00,44.60,12.7575,116,0,588.00,108.17,5.4361,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff};{order:15,from:Staff,to:Shotgun};{order:16,from:Shotgun,to:Staff};{order:17,from:Staff,to:Shotgun};{order:18,from:Shotgun,to:Staff};{order:19,from:Staff,to:Shotgun};{order:20,from:Shotgun,to:Staff};{order:21,from:Staff,to:Shotgun};{order:22,from:Shotgun,to:Staff};{order:23,from:Staff,to:Shotgun}",420.00,4,2,2,0,2,"C1SandMecha-MeleeHitbox:50;C1SandMecha (7)-MeleeHitbox:60;C1SandMecha (6)-MeleeHitbox:30;C1SandMecha (1)-MeleeHitbox:60;C1SandMecha (1)-DashAttackHitbox:20;C1SandMecha (2)-MeleeHitbox:80;C1SandMecha (3)-MeleeHitbox:60;C1SandMecha (5)-MeleeHitbox:30;C1SandMecha (4)-MeleeHitbox:20;C1SandMecha (4)-DashAttackHitbox:10"
"C1_Stage3_1","",93.40,14,0,160.00,5.35,29.9060,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",150.00,3,0,12,0,1,"FallDamageArea-:140;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",197.18,81,0,1130.00,29.23,38.6538,5,0,33.00,3.03,10.8778,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",380.00,17,0,24,0,6,"C1GunnerMobPrefab (1)-RangedAttackHitbox:30;C1PistolMob (2)-AttackHitbox:90;FallDamageArea (1)-:180;C1TonpaMobPrefab (5)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:20;C1TonpaMobPrefab (2)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:20;C1TonpaMobPrefab (4)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_3","",65.27,59,0,720.00,17.48,41.1831,2,0,3.00,1.22,2.4665,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",80.00,0,0,6,0,1,"C1TonpaMobPrefab (2)-AttackHitbox:20;C1PistolMob-AttackHitbox:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10;C1EliteTonpaMob (1)-Attack:10"
