SerialNumber,ac6721fe504589861f5d6a9a44a4d754ed5c3b40
TotalPlayTime,5923.13
TotalDeathCount,22
TotalKilledEnemies,273
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",68.18,62,0,560.00,19.33,28.9655,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,9,2,1,1,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:40"
"C1_Stage2_2","",10.63,14,0,160.00,4.73,33.8032,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,3,0,2,0,0,""
"C1_Stage2_3","",221.12,153,0,1448.00,43.63,33.1858,30,0,235.50,25.47,9.2474,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",200.00,36,20,15,8,3,"C1PistolMobForDashTutorial-AttackHitbox:40;C1PistolMob (1)-AttackHitbox:40;C1TonpaMobPrefab (6)-AttackHitbox:30;C1TonpaMobPrefab (8)-AttackHitbox:10;C1TonpaMobPrefab (9)-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:20;C1EliteTonpaMob-Attack:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:30"
"C1_Stage2_4","",434.17,203,0,2820.00,57.08,49.4017,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",170.00,32,26,34,9,2,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1PistolMob (2)-AttackHitbox:20;C1TonpaMobPrefab (14)-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:20;C1PistolMob-AttackHitbox:30;C1GunnerMobPrefab-RangedAttackHitbox:60;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_5","",56.17,26,0,234.00,7.53,31.0625,9,0,91.50,5.23,17.4843,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff}",70.00,2,2,7,1,1,"C1EliteTonpaMob-Rush Attack:40;C1EliteTonpaMob-Attack:10;C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (19)-AttackHitbox:10"
"C1_Stage2_6","",2224.62,45,0,630.00,14.73,42.7593,58,0,1110.00,30.12,36.8571,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff}",140.00,18,10,9,2,1,"C1PistolMob-AttackHitbox:40;C1GunnerMobPrefab (1)-RangedAttackHitbox:30;C1GunnerMobPrefab (3)-RangedAttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (6)-AttackHitbox:10;C1TonpaMobPrefab (5)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:20"
"C1_Stage2_7","",128.96,2,0,2.00,1.45,1.3791,41,0,213.00,30.67,6.9460,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff}",110.00,7,3,7,2,1,"C1SandMecha-DashAttackHitbox:10;C1SandMecha-MeleeHitbox:50;C1SandMecha (2)-LandingImpactHitbox:50"
"C1_Stage3_1","",100.80,25,0,250.00,11.67,21.4298,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",160.00,10,0,15,0,2,"FallDamageArea-:100;C1PistolMob (1)-AttackHitbox:50;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage3_2","",116.05,57,0,641.00,19.65,32.6202,12,0,81.00,9.67,8.3795,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",130.00,17,9,3,3,2,"C1TonpaMobPrefab (4)-AttackHitbox:30;C1PistolMob (2)-AttackHitbox:40;C1GunnerMobPrefab (1)-RangedAttackHitbox:20;FallDamageArea (1)-:40"
"C1_Stage3_3","",98.38,75,0,800.00,21.73,36.8097,14,0,84.00,11.28,7.4447,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",120.00,16,12,6,4,2,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1PistolMob-AttackHitbox:70;C1TonpaMobPrefab (2)-AttackHitbox:20;C1TonpaMobPrefab (1)-AttackHitbox:20"
"C1_Stage3_4","",71.55,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
