SerialNumber,25417cde79c84fccb1a070c403ed709cb564fb05
TotalPlayTime,3219.63
TotalDeathCount,5
TotalKilledEnemies,260
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",51.78,46,0,530.00,12.40,42.7419,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,10,4,0,4,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:30"
"C1_Stage2_2","",10.56,8,0,160.00,2.78,57.4839,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,1,0,2,0,0,""
"C1_Stage2_3","",52.91,62,0,658.00,22.33,29.4629,2,0,3.00,1.20,2.5000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,14,3,6,2,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_4","",60.65,70,0,1050.00,21.72,48.3501,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,17,7,9,4,0,"C1PistolMob-AttackHitbox:20;C1PistolMob (2)-AttackHitbox:20"
"C1_Stage2_5","",35.85,30,0,323.00,10.15,31.8224,3,0,3.00,1.07,2.8125,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,8,1,2,2,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",51.85,68,0,960.00,20.18,47.5637,4,0,3.00,1.72,1.7476,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,16,5,0,5,0,""
"C1_Stage2_7","",80.71,11,0,100.00,4.88,20.4780,6,0,6.00,5.95,1.0084,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",80.00,5,0,4,0,1,"C1SandMecha-LandingImpactHitbox:50;C1SandMecha-MeleeHitbox:30"
"C1_Stage3_1","",22.28,12,0,160.00,3.80,42.1054,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,3,1,3,1,0,"FallDamageArea-:20"
"C1_Stage3_2","",41.30,28,0,420.00,9.90,42.4247,4,0,33.00,3.77,8.7609,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",30.00,8,1,3,0,0,"C1PistolMob (2)-AttackHitbox:20;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_3","",38.03,44,0,435.00,12.93,33.6338,5,0,63.00,3.83,16.4338,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",30.00,7,0,4,1,0,"C1PistolMob-AttackHitbox:10;C1EliteTonpaMob (1)-Attack:10;C1EliteTonpaMob (1)-Rush Attack:10"
"C1_Stage3_4","",75.01,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_5","",59.08,58,0,757.00,16.87,44.8810,17,0,198.00,12.03,16.4540,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff}",30.00,10,1,0,4,0,"C1SandMecha-MeleeHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_6","",91.43,30,0,413.00,9.07,45.5516,13,0,117.00,10.53,11.1072,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",10.00,10,0,6,2,0,"C1SandMecha-MeleeHitbox:10"
"C1_Stage3_7","",179.61,38,0,0.00,15.35,0.0000,33,0,0.00,32.85,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",80.00,39,8,15,9,0,"C1MidBoss-TangTang 1:20;C1MidBoss-RushKick:20;C1MidBoss-TangTang 2:10;C1MidBoss-KickKick 1:10;C1MidBoss-KickKick 2:20"
"C1_Boss_1","",40.18,5,0,100.00,1.65,60.6052,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,0,0,0,0,0,"C1TonpaMobPrefab A-AttackHitbox:10"
