SerialNumber,27761a064b3f64f163f803a7f433e7be0a53933c
TotalPlayTime,3767.01
TotalDeathCount,6
TotalKilledEnemies,289
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",64.90,61,1,530.00,20.35,26.0443,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,14,8,5,2,0,"C1PistolMobForDashTutorial-AttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_2","",20.77,0,0,0.00,0.00,NaN,8,1,180.00,6.73,26.7327,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,3,1,2,0,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_3","",112.04,184,0,1207.00,50.18,24.0519,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",110.00,41,37,8,11,1,"C1PistolMobForDashTutorial-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:30;C1TonpaMobPrefab (6)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:30;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab (10)-AttackHitbox:10"
"C1_Stage2_4","",73.05,93,0,1070.00,28.15,38.0103,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",90.00,24,21,9,5,0,"C1TonpaMobPrefab (12)-AttackHitbox:10;C1PistolMob-AttackHitbox:30;C1PistolMob (2)-AttackHitbox:10;FallDamageArea (3)-:20;C1TonpaMobPrefab (17)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_5","",75.22,99,0,316.00,26.87,11.7618,14,0,4.50,10.75,0.4186,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,31,28,2,11,0,"C1EliteTonpaMob-Attack:10"
"C1_Stage2_6","",76.61,150,0,931.00,38.00,24.4998,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,25,23,0,9,0,"C1PistolMob-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10;C1EliteTonpaMob-Attack:10"
"C1_Stage2_7","",129.47,177,0,169.00,43.08,3.9226,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,30,30,8,11,1,"C1SandMecha-DashAttackHitbox:10;C1SandMecha-MeleeHitbox:50"
"C1_Stage3_1","",39.06,20,0,150.00,6.17,24.3250,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,5,2,5,1,1,"FallDamageArea-:40"
"C1_Stage3_2","",54.74,110,0,451.00,28.62,15.7600,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,17,14,2,8,0,"C1PistolMob (2)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage3_3","",56.54,118,0,481.00,31.92,15.0705,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,22,19,0,5,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1EliteTonpaMob (1)-Rush Attack:10"
"C1_Stage3_4","",104.96,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_5","",142.79,361,0,925.00,90.17,10.2588,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",70.00,69,64,0,25,0,"C1SandMecha-DashAttackHitbox:10;C1SandMecha-MeleeHitbox:20;C1EliteTonpaMob-Rush Attack:30;C1EliteTonpaMob-Attack:10"
"C1_Stage3_6","",329.08,400,0,856.00,108.03,7.9234,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",100.00,87,61,24,26,1,"C1EliteTonpaMob-Rush Attack:10;C1SandMecha-LandingImpactHitbox:50;C1EliteTonpaMob (1)-Rush Attack:20;C1TonpaMobPrefab (4)-AttackHitbox:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:10"
"C1_Stage3_7","",154.45,62,0,0.00,19.85,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,15,14,0,4,0,"C1MidBoss-TangTang 1:30;C1MidBoss-KickKick 1:10"
