SerialNumber,cda1f318fc3a674b6b2605a5a4c302636ee4d12f
TotalPlayTime,2698.94
TotalDeathCount,6
TotalKilledEnemies,321
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",84.40,23,0,120.00,6.83,17.5610,50,0,480.00,35.63,13.4706,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",60.00,37,13,0,7,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:30;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_2","",10.94,13,0,160.00,4.22,37.9440,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,4,0,4,0,0,""
"C1_Stage2_3","",56.89,63,0,652.00,17.65,36.9406,16,0,93.00,8.95,10.3911,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff}",70.00,25,6,6,7,1,"C1PistolMobForDashTutorial-AttackHitbox:40;C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab (10)-AttackHitbox:10"
"C1_Stage2_4","",186.72,210,0,3120.00,61.32,50.8835,6,0,135.00,3.08,43.7832,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",230.00,51,18,23,9,3,"C1PistolMob (2)-AttackHitbox:40;C1TonpaMobPrefab (14)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:30;C1TonpaMobPrefab (18)-AttackHitbox:20;C1TonpaMobPrefab (2)-AttackHitbox:10;C1PistolMob-AttackHitbox:50;FallDamageArea (1)-:20;C1GunnerMobPrefab-RangedAttackHitbox:20;C1TonpaMobPrefab (16)-AttackHitbox:10;C1TonpaMobPrefab (13)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_5","",39.42,42,1,253.00,14.10,17.9434,11,0,63.00,5.23,12.0384,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff}",20.00,11,1,2,1,0,"C1EliteTonpaMob-Rush Attack:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",51.32,56,3,928.00,22.22,41.7704,4,0,33.00,1.67,19.8005,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",40.00,16,3,2,2,0,"C1PistolMob-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab (5)-AttackHitbox:10"
"C1_Stage2_7","",70.23,12,0,100.00,3.78,26.4309,18,1,883.63,13.80,64.0311,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",20.00,7,0,0,2,0,"C1SandMecha (2)-MeleeHitbox:10;C1SandMecha (1)-MeleeHitbox:10"
"C1_Stage3_1","",95.50,11,0,150.00,6.83,21.9519,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,11,1,8,1,1,"FallDamageArea-:60"
"C1_Stage3_2","",39.99,41,0,454.00,13.98,32.4668,12,1,10.50,7.90,1.3291,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,14,2,3,1,0,"C1PistolMob (2)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_3","",36.22,48,0,452.00,15.68,28.8208,10,1,40.50,6.28,6.4455,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,16,2,1,1,0,"C1PistolMob-AttackHitbox:10;C1EliteTonpaMob (1)-Rush Attack:10"
"C1_Stage3_4","",61.77,0,0,0.00,0.45,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,1,0,1,0,0,""
"C1_Stage3_5","",48.70,61,1,723.00,20.35,35.5279,20,2,269.38,11.93,22.5735,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",30.00,18,1,1,2,0,"C1PistolMob (5)-AttackHitbox:10;C1TonpaMobPrefab (8)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_6","",55.62,38,1,483.00,15.48,31.1947,12,0,72.00,5.70,12.6317,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",40.00,15,0,4,0,0,"C1EliteTonpaMob-Rush Attack:10;C1EliteTonpaMob (1)-Rush Attack:10;C1TonpaMobPrefab (4)-AttackHitbox:10;C1SandMecha-MeleeHitbox:10"
"C1_Stage3_7","",120.30,45,1,0.00,15.67,0.0000,5,0,0.00,3.00,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",50.00,12,5,0,3,0,"C1MidBoss-KickKick 1:10;C1MidBoss-KickKick 2:20;C1MidBoss-TangTang 2:10;C1MidBoss-Taaang:10"
"C1_Boss_1","",39.00,6,0,100.00,2.73,36.5861,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,0,1,0,0,""
"C1_Boss_2","",67.25,87,1,932.00,26.47,35.2143,25,4,537.67,14.18,37.9091,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff}",50.00,30,1,4,4,0,"C1GunnerMobPrefab (3)-RangedAttackHitbox:10;C1EliteTonpaMob-Attack:10;C1SandMecha (1)-DashAttackHitbox:10;C1EliteTonpaMob-Rush Attack:10;C1TonpaMobPrefab-AttackHitbox:10"
