SerialNumber,cc88acfdfda0a17391818e551011573bbab5dcbb
TotalPlayTime,3632.43
TotalDeathCount,11
TotalKilledEnemies,302
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",210.07,67,0,740.00,21.40,34.5794,5,0,0.00,5.03,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",80.00,5,3,10,0,1,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:40;C1TonpaMobPrefab (3)-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_2","",13.58,13,0,150.00,4.10,36.5856,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,0,0,2,0,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_3","",75.77,61,0,739.00,21.45,34.4522,5,0,63.00,4.67,13.4999,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",90.00,4,1,19,0,1,"C1PistolMobForDashTutorial-AttackHitbox:20;C1TonpaMobPrefab (3)-AttackHitbox:20;C1TonpaMobPrefab (4)-AttackHitbox:10;C1TonpaMobPrefab (5)-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:20"
"C1_Stage2_4","",157.63,155,0,2120.00,43.78,48.4201,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",170.00,21,16,23,8,2,"C1TonpaMobPrefab (16)-AttackHitbox:10;FallDamageArea (3)-:20;C1TonpaMobPrefab (17)-AttackHitbox:10;C1TonpaMobPrefab (18)-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:20;C1PistolMob-AttackHitbox:50;C1TonpaMobPrefab (11)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1TonpaMobPrefab (15)-AttackHitbox:10"
"C1_Stage2_5","",35.88,20,0,250.00,7.30,34.2475,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,3,1,2,1,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",88.83,67,0,965.00,23.35,41.3275,3,0,3.00,1.57,1.9149,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",60.00,16,8,0,2,0,"C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab (3)-RangedAttackHitbox:10;C1PistolMob-AttackHitbox:20;C1EliteTonpaMob-Attack:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",255.56,30,0,424.00,10.73,39.5029,83,0,432.00,91.63,4.7144,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff}",130.00,67,2,1,6,1,"C1SandMecha-LandingImpactHitbox:50;C1SandMecha-MeleeHitbox:10;C1SandMecha (2)-MeleeHitbox:10;C1SandMecha (1)-MeleeHitbox:10;C1SandMecha (3)-MeleeHitbox:10;C1SandMecha (2)-DashAttackHitbox:10;C1SandMecha (1)-DashAttackHitbox:10;C1SandMecha (7)-MeleeHitbox:10;C1SandMecha (6)-MeleeHitbox:10"
"C1_Stage3_1","",37.98,12,0,160.00,4.35,36.7808,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,5,1,9,1,0,"C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",100.58,50,0,593.00,22.72,26.1043,4,0,6.00,3.07,1.9565,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",90.00,23,5,12,2,1,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1PistolMob (2)-AttackHitbox:40;FallDamageArea (1)-:40"
"C1_Stage3_3","",37.88,35,0,490.00,14.78,33.1460,3,0,3.00,1.67,1.8000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,9,2,1,0,0,"C1PistolMob-AttackHitbox:10"
