SerialNumber,32f8c404fc7ccd570751bbfaaff95e48489ec399
TotalPlayTime,1386.46
TotalDeathCount,1
TotalKilledEnemies,136
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",66.15,26,0,400.00,9.50,42.1047,17,0,180.00,14.92,12.0671,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",30.00,19,2,0,3,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:20"
"C1_Stage2_2","",12.36,9,0,150.00,3.60,41.6662,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,5,0,3,1,0,""
"C1_Stage2_3","",48.73,47,0,566.00,12.28,46.0785,10,0,93.00,7.00,13.2857,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",30.00,10,4,6,7,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_4","",70.24,70,0,910.00,19.55,46.5475,9,0,165.00,4.58,36.0006,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",30.00,20,11,9,6,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:20;C1PistolMob-AttackHitbox:10"
"C1_Stage2_5","",30.33,27,0,280.00,8.10,34.5680,5,0,33.00,1.42,23.2938,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,7,2,2,3,0,"C1EliteTonpaMob-Rush Attack:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",55.74,76,0,886.00,22.53,39.3195,4,0,33.00,1.70,19.4116,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,22,5,0,6,0,"C1PistolMob-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",54.45,8,0,100.00,3.37,29.7027,6,0,6.00,2.97,2.0225,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,6,1,0,1,0,""
"C1_Stage3_1","",31.01,14,0,150.00,7.77,19.3136,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,11,3,7,1,0,"FallDamageArea-:20;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",49.48,27,0,390.00,10.82,36.0551,5,0,63.00,2.07,30.4832,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",60.00,15,7,3,7,0,"C1PistolMob (2)-AttackHitbox:10;FallDamageArea (1)-:20;C1EliteTonpaMob-Rush Attack:10;C1EliteTonpaMob-Attack:10;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10"
"C1_Stage3_3","",32.41,49,0,495.00,12.37,40.0271,8,0,18.00,4.72,3.8162,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",10.00,13,4,1,7,0,"C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10"
"C1_Stage3_4","",72.11,4,0,0.00,2.37,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,0,0,0,0,""
"C1_Stage3_5","",73.56,82,0,794.00,26.33,30.1523,28,0,135.00,13.12,10.2927,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff}",80.00,23,5,0,8,1,"C1SandMecha-LandingImpactHitbox:50;C1SandMecha-MeleeHitbox:20;C1PistolMob (5)-AttackHitbox:10"
"C1_Stage3_6","",73.54,55,0,475.00,22.48,21.1270,9,0,42.00,3.85,10.9095,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",30.00,26,2,4,5,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1EliteTonpaMob (1)-Attack:10;C1SandMecha-MeleeHitbox:10"
"C1_Stage3_7","",115.01,53,0,0.00,16.63,0.0000,5,0,0.00,4.68,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,15,9,0,6,0,"C1MidBoss-TangTang 1:20;C1MidBoss-RushKick:10"
"C1_Boss_1","",8.24,2,0,0.00,0.93,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
