SerialNumber,32f8c404fc7ccd570751bbfaaff95e48489ec399
TotalPlayTime,2704.94
TotalDeathCount,7
TotalKilledEnemies,268
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",45.44,45,0,540.00,15.73,34.3227,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,15,1,0,2,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:20"
"C1_Stage2_2","",8.44,13,0,150.00,4.28,35.0185,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,5,0,2,2,0,""
"C1_Stage2_3","",37.53,57,0,580.00,15.17,38.2413,9,0,93.00,6.18,15.0404,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,13,5,5,4,0,""
"C1_Stage2_4","",56.96,85,0,1040.00,29.88,34.8025,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,34,5,7,8,0,"C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (18)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;FallDamageArea (4)-:20"
"C1_Stage2_5","",29.06,28,0,310.00,10.72,28.9279,3,0,18.00,1.58,11.3690,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,9,2,5,2,0,"C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_6","",47.24,78,0,933.00,24.85,37.5437,3,0,18.00,1.62,11.1355,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,26,3,0,5,0,"C1PistolMob-AttackHitbox:20"
"C1_Stage2_7","",165.94,66,0,895.00,26.25,34.0952,59,0,336.00,37.75,8.9007,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff}",130.00,32,5,0,6,1,"C1SandMecha-MeleeHitbox:30;C1SandMecha (1)-MeleeHitbox:20;C1SandMecha (4)-MeleeHitbox:10;C1SandMecha (3)-MeleeHitbox:20;C1SandMecha (6)-MeleeHitbox:20;C1SandMecha (2)-MeleeHitbox:10;C1SandMecha (5)-MeleeHitbox:10;C1SandMecha (6)-DashAttackHitbox:10"
"C1_Stage3_1","",27.34,11,0,150.00,8.58,17.4749,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,16,4,2,2,0,""
"C1_Stage3_2","",30.81,37,0,450.00,12.18,36.9379,3,0,3.00,1.03,2.9029,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,13,4,2,3,0,"C1PistolMob (2)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage3_3","",33.91,62,0,474.00,18.13,26.1405,2,0,3.00,1.30,2.3076,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,13,4,1,1,0,"C1PistolMob-AttackHitbox:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1EliteTonpaMob (1)-Rush Attack:10"
