SerialNumber,bb64b49c0a1612aad2f1ea2e843a748f3402dd9e
TotalPlayTime,2171.28
TotalDeathCount,14
TotalKilledEnemies,227
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",83.45,75,0,820.00,24.67,33.2432,2,0,15.00,0.68,21.9507,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,28,2,27,5,1,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:20"
"C1_Stage2_2","",18.65,13,0,170.00,5.51,30.8676,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,6,0,8,1,1,""
"C1_Stage2_3","",35.82,16,0,280.00,9.53,29.3710,9,0,171.00,5.15,33.2041,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,16,2,14,2,0,"FallDamageArea-:10;C1PistolMob (1)-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_4","",41.90,44,0,540.00,17.57,30.7400,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,26,2,17,6,0,"C1PistolMob-AttackHitbox:20;C1PistolMob (2)-AttackHitbox:10"
"C1_Stage2_5","",28.27,26,0,290.00,10.78,26.8934,4,0,33.00,1.67,19.8005,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,13,2,9,4,0,""
"C1_Stage2_6","",54.73,74,0,1063.00,23.37,45.4921,5,0,63.00,1.93,32.5849,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,31,5,8,10,1,"C1TonpaMobPrefab (5)-AttackHitbox:10"
"C1_Stage2_7","",76.14,8,0,100.00,5.10,19.6077,5,0,6.00,2.77,2.1687,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,8,0,9,1,1,"C1SandMecha-MeleeHitbox:30;C1SandMecha-DashAttackHitbox:10"
"C1_Stage3_1","",18.17,11,0,150.00,5.52,27.1907,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,9,1,6,2,0,"C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",46.42,42,0,550.00,14.63,37.5855,5,0,33.00,2.32,14.2447,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",70.00,20,3,15,3,1,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:40;FallDamageArea (1)-:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage3_3","",47.05,47,0,540.00,16.02,33.7148,5,0,33.00,2.23,14.7757,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",60.00,14,0,10,2,1,"C1TonpaMobPrefab (2)-AttackHitbox:30;C1PistolMob-AttackHitbox:20;C1EliteTonpaMob (1)-Rush Attack:10"
