SerialNumber,8d464bd918b3737102d809f02dd6101bb5fad3f0
TotalPlayTime,2104.54
TotalDeathCount,11
TotalKilledEnemies,136
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ShieldOnEvade,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",109.13,13,2,0.00,8.37,0.0000,9,0,90.00,5.27,17.0885,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff}",0.00,3,0,2,0,0,""
"C1_Boss_2","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ShieldOnEvade,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",246.43,232,1,550.00,103.67,5.3055,19,0,240.00,11.88,20.1964,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff}",60.00,51,5,7,4,1,"C1TonpaMobPrefab-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Boss_3","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ShieldOnEvade,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",252.36,55,0,223.20,38.13,5.8532,56,0,433.00,31.97,13.5454,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff};{order:14,from:Staff,to:Shotgun};{order:15,from:Shotgun,to:Staff};{order:16,from:Staff,to:Shotgun};{order:17,from:Shotgun,to:Staff};{order:18,from:Staff,to:Shotgun};{order:19,from:Shotgun,to:Staff};{order:20,from:Staff,to:Shotgun};{order:21,from:Shotgun,to:Staff}",110.00,56,2,1,19,2,"C1SandMecha-MeleeHitbox:80;C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:20"
"C1_Boss_4","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ShieldOnEvade,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",58.44,18,0,201.00,8.45,23.7868,16,0,270.00,9.68,27.8831,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff}",20.00,16,0,5,2,0,"FallDamageArea-:20"
"C1_Boss_5","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ShieldOnEvade,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",72.19,37,0,419.40,16.13,25.9961,30,0,252.00,15.95,15.7995,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff}",30.00,17,1,1,3,0,"C1TonpaMobPrefab (8)-AttackHitbox:10;C1SandMecha (1)-MeleeHitbox:10;C1SandMecha (1)-DashAttackHitbox:10"
"C1_Boss_6","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ShieldOnEvade,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",22.14,24,0,333.00,9.58,34.7486,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,5,0,1,1,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Boss_7","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ShieldOnEvade,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",412.90,86,2,1225.00,37.88,32.3362,117,2,1310.00,85.02,15.4087,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff};{order:14,from:Staff,to:Shotgun};{order:15,from:Shotgun,to:Staff};{order:16,from:Staff,to:Shotgun};{order:17,from:Shotgun,to:Shotgun};{order:18,from:Shotgun,to:Staff};{order:19,from:Staff,to:Shotgun};{order:20,from:Shotgun,to:Staff};{order:21,from:Staff,to:Shotgun};{order:22,from:Shotgun,to:Staff};{order:23,from:Staff,to:Shotgun}",150.00,71,13,1,22,3,"C1CannonExplode(Clone)-C1CannonExplode(Clone):10;C1Boss-DashAttackHitbox:40;C1Boss-FlameThrowerStartHitbox:20;C1Boss-FlameThrowerMainHitbox:20;C1Boss-CounterAttackHitbox:30;C1TonpaMobPrefab(Clone)-AttackHitbox:20;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:10"
"C2_Boss_1","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ShieldOnEvade,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",127.19,31,1,79.00,13.52,5.8440,38,1,240.00,26.25,9.1418,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff}",50.00,13,3,4,2,1,"C2ShieldMobPrefab-ShieldAttackHitbox:30;C2GunnerMobPrefab (1)-RangedAttackHitbox:20"
"C2_Boss_2","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ShieldOnEvade,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",193.83,108,5,977.00,52.42,18.6393,75,3,413.75,53.43,7.7433,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff}",150.00,60,40,6,12,3,"C2GunnerMobPrefab (2)-RangedAttackHitbox:50;C2GunnerMobPrefab-RangedAttackHitbox:40;C2ShieldMobPrefab (2)-ShieldAttackHitbox:20;C2EliteMobPrefab-RushAttackHitBox:10;C2GunnerMobPrefab (1)-RangedAttackHitbox:20;C2EliteMobPrefab-JumpAttackHitBox:10"
"C2_Boss_3","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ShieldOnEvade,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",91.78,17,2,138.00,10.02,13.7768,9,1,45.00,7.03,6.3981,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,10,6,44,2,0,"C2ShieldMobPrefab-ShieldAttackHitbox:10"
