SerialNumber,6984455e9dddce9c12b4da8434c06568a4c38173
TotalPlayTime,1381.29
TotalDeathCount,4
TotalKilledEnemies,180
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",52.33,47,0,560.00,18.18,30.7976,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,22,3,0,2,0,"C1PistolMobForDashTutorial-AttackHitbox:30"
"C1_Stage2_2","",13.03,14,0,160.00,5.95,26.8910,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,7,1,3,0,0,""
"C1_Stage2_3","",49.50,52,0,642.00,20.63,31.1144,7,0,21.00,6.92,3.0361,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,19,1,8,0,0,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab (6)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_4","",115.53,131,0,1880.00,50.53,37.2031,3,0,75.00,1.53,48.9133,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",140.00,50,5,19,2,2,"C1PistolMob-AttackHitbox:50;C1GunnerMobPrefab-RangedAttackHitbox:20;C1PistolMob (2)-AttackHitbox:40;C1TonpaMobPrefab (16)-AttackHitbox:10;C1TonpaMobPrefab (15)-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_5","",37.73,37,0,323.00,14.68,21.9979,3,0,3.00,1.27,2.3683,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,11,1,5,0,0,"C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_6","",62.82,69,0,934.00,28.80,32.4306,2,0,3.00,1.23,2.4323,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",60.00,25,0,3,0,0,"C1PistolMob-AttackHitbox:20;C1TonpaMobPrefab (1)-AttackHitbox:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",53.06,10,0,100.00,5.12,19.5448,8,0,6.00,7.23,0.8295,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,9,0,1,0,0,"C1SandMecha-MeleeHitbox:10"
"C1_Stage3_1","",27.03,15,0,130.00,5.88,22.0969,2,0,30.00,2.10,14.2851,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",20.00,8,0,4,0,0,"C1PistolMob (1)-AttackHitbox:20"
"C1_Stage3_2","",44.42,40,0,452.00,16.30,27.7298,4,0,6.00,2.60,2.3077,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",30.00,12,0,6,0,0,"C1PistolMob (2)-AttackHitbox:20;FallDamageArea (1)-:10"
"C1_Stage3_3","",91.57,102,0,1223.00,34.70,35.2451,15,0,82.50,7.33,11.2501,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff}",140.00,26,0,8,2,2,"C1PistolMob-AttackHitbox:60;C1TonpaMobPrefab (2)-AttackHitbox:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1EliteTonpaMob (1)-Attack:10;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):20;C1EliteTonpaMob (1)-Rush Attack:20"
