SerialNumber,6984455e9dddce9c12b4da8434c06568a4c38173
TotalPlayTime,1579.29
TotalDeathCount,6
TotalKilledEnemies,159
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",69.18,57,0,550.00,17.70,31.0740,3,0,15.00,3.40,4.4119,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,7,3,6,4,0,"C1TonpaMobPrefab (2)-AttackHitbox:20;C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_2","",10.22,14,0,150.00,3.70,40.5411,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,0,2,1,0,""
"C1_Stage2_3","",125.95,63,0,751.00,19.43,38.6454,53,0,518.00,36.65,14.1337,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff}",170.00,16,9,10,5,1,"C1PistolMobForDashTutorial-AttackHitbox:20;C1PistolMob (1)-AttackHitbox:40;C1TonpaMobPrefab (9)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:40;C1GunnerMobPrefab-RangedAttackHitbox:20;FallDamageArea-:10;C1TonpaMobPrefab (4)-AttackHitbox:10;C1TonpaMobPrefab (10)-AttackHitbox:10;C1EliteTonpaMob-Attack:10"
"C1_Stage2_4","",59.63,77,0,1050.00,21.75,48.2764,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,15,6,10,9,0,"C1TonpaMobPrefab (11)-AttackHitbox:10;C1PistolMob-AttackHitbox:20;C1PistolMob (2)-AttackHitbox:10;C1TonpaMobPrefab (18)-AttackHitbox:10"
"C1_Stage2_5","",46.00,18,0,180.00,5.70,31.5765,15,0,141.00,10.47,13.4715,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",30.00,5,0,5,1,0,"C1PistolMob-AttackHitbox:20;C1TonpaMobPrefab (19)-AttackHitbox:10"
"C1_Stage2_6","",59.80,79,0,892.00,23.17,38.5035,6,0,18.00,3.87,4.6551,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,13,5,0,6,0,"C1PistolMob-AttackHitbox:20"
"C1_Stage2_7","",90.26,18,0,201.00,6.25,32.1587,9,0,12.00,5.15,2.3304,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",80.00,3,0,0,0,1,"C1SandMecha-MeleeHitbox:20;C1SandMecha (6)-LandingImpactHitbox:50;C1SandMecha-DashAttackHitbox:10"
"C1_Stage3_1","",34.70,12,0,150.00,4.72,31.8029,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,5,1,5,2,0,"FallDamageArea-:30;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",35.73,40,0,460.00,12.52,36.7505,2,0,3.00,1.67,1.8002,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,7,1,3,2,0,"C1PistolMob (2)-AttackHitbox:20"
"C1_Stage3_3","",48.03,61,0,671.00,18.12,37.0372,4,0,18.00,1.77,10.1891,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",50.00,10,1,1,3,1,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1PistolMob-AttackHitbox:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:20"
"C1_Stage3_4","",76.30,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_5","",61.08,62,0,838.00,20.37,41.1456,19,0,90.00,12.20,7.3771,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",60.00,13,1,0,1,0,"C1SandMecha-MeleeHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:10;C1PistolMob (5)-AttackHitbox:10;C1EliteTonpaMob-Attack:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_6","",132.28,59,0,753.00,22.60,33.3184,22,0,322.50,10.82,29.8158,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff}",180.00,23,1,7,2,3,"C1TonpaMobPrefab (2)-AttackHitbox:20;C1EliteTonpaMob (1)-Rush Attack:40;C1GunnerMobPrefab (1)-RangedAttackHitbox:20;C1EliteTonpaMob-Attack:10;C1EliteTonpaMob-Rush Attack:40;C1TonpaMobPrefab-AttackHitbox:10;C1EliteTonpaMob (1)-Attack:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1SandMecha-MeleeHitbox:20"
"C1_Stage3_7","",111.93,50,0,0.00,16.80,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,10,2,0,3,0,"C1MidBoss-TangTang 1:30;C1MidBoss-KickKick 1:10;C1MidBoss-KickKick 2:10"
