SerialNumber,6984455e9dddce9c12b4da8434c06568a4c38173
TotalPlayTime,2660.42
TotalDeathCount,4
TotalKilledEnemies,255
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",57.68,40,0,530.00,14.12,37.5429,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,12,0,0,0,0,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:20"
"C1_Stage2_2","",10.22,12,0,150.00,3.27,45.9330,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,0,2,1,0,""
"C1_Stage2_3","",56.70,44,0,565.00,13.02,43.4061,14,0,84.00,11.60,7.2422,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",60.00,11,0,5,1,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab (8)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:30"
"C1_Stage2_4","",60.42,67,0,1040.00,23.79,43.7248,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,19,0,6,2,0,"C1PistolMob-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:10;C1PistolMob (2)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_5","",51.45,23,0,242.00,8.10,29.8744,13,0,84.00,10.33,8.1301,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,7,0,4,1,0,"C1EliteTonpaMob-Attack:10;C1EliteTonpaMob-Rush Attack:10;FallDamageArea (4)-:20"
"C1_Stage2_6","",66.55,58,0,846.00,18.00,47.0102,15,0,84.00,14.38,5.8399,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,13,0,0,4,0,"C1PistolMob-AttackHitbox:20"
"C1_Stage2_7","",102.58,0,0,0.00,0.90,0.0000,33,0,213.00,28.62,7.4433,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",60.00,10,0,0,4,1,"C1SandMecha-MeleeHitbox:10;C1SandMecha (1)-LandingImpactHitbox:50"
"C1_Stage3_1","",24.00,12,0,150.00,5.35,28.0343,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,5,0,2,0,0,"C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",58.47,27,0,340.00,9.56,35.5519,15,0,114.00,13.85,8.2313,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,11,0,5,1,0,"C1PistolMob (2)-AttackHitbox:20;FallDamageArea (1)-:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage3_3","",44.43,31,0,381.00,10.95,34.7939,19,0,114.00,17.38,6.5578,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,14,0,0,1,0,"C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage3_4","",77.00,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_5","",122.27,26,0,331.00,11.57,28.6198,66,0,627.00,58.56,10.7065,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",80.00,35,0,1,4,0,"C1SandMecha-MeleeHitbox:30;C1SandMecha-DashAttackHitbox:10;C1EliteTonpaMob-Attack:10;C1PistolMob (5)-AttackHitbox:20;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_6","",107.78,20,0,196.00,8.40,23.3350,38,0,336.00,32.94,10.2017,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",40.00,11,0,3,2,0,"C1EliteTonpaMob-Rush Attack:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1SandMecha-MeleeHitbox:20"
"C1_Stage3_7","",189.17,21,0,0.00,9.08,0.0000,43,0,0.00,44.67,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",90.00,39,11,2,11,0,"C1MidBoss-TangTang 1:30;C1MidBoss-KickKick 2:20;C1MidBoss-KickKick 1:10;C1MidBoss-TangTang 2:20;C1MidBoss-RushKick:10"
"C1_Boss_1","",48.95,10,0,100.00,3.70,27.0256,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,4,0,0,1,0,""
"C1_Boss_2","",110.32,52,0,639.00,16.42,38.9185,51,0,714.00,43.17,16.5404,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",70.00,30,0,0,5,0,"C1EliteTonpaMob-Rush Attack:30;C1TonpaMobPrefab (1)-AttackHitbox:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_3","",70.47,48,0,728.00,15.95,45.6421,35,0,186.00,27.11,6.8599,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",50.00,16,0,0,4,0,"C1SandMecha-MeleeHitbox:10;C1EliteTonpaMob-Rush Attack:20;C1PistolMob (1)-AttackHitbox:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:10"
"C1_Boss_4","",160.07,115,0,1486.00,36.17,41.0872,18,0,144.00,15.67,9.1919,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",130.00,35,8,4,12,1,"C1PistolMob (2)-AttackHitbox:40;C1GunnerMobPrefab-RangedAttackHitbox:20;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1PistolMob (3)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:20;C1GunnerMobPrefab (3)-RangedAttackHitbox:10"
"C1_Boss_5","",97.77,19,0,294.00,7.23,40.6448,42,0,297.00,37.14,7.9977,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,13,0,0,2,0,"C1EliteTonpaMob (1)-Rush Attack:10;C1SandMecha (1)-MeleeHitbox:10"
"C1_Boss_6","",78.70,17,0,325.00,6.82,47.6791,43,0,768.00,25.30,30.3571,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff}",90.00,22,3,0,3,2,"C1GunnerMobPrefab (1)-RangedAttackHitbox:30;C1PistolMob (6)-AttackHitbox:40;C1GunnerMobPrefab-RangedAttackHitbox:10;C1EliteTonpaMob (2)-Attack:10"
"C1_Boss_7","",344.10,12,0,130.00,3.92,33.1805,102,0,703.50,96.25,7.3092,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",90.00,23,1,1,9,0,"C1Boss-FlameThrowerStartHitbox:20;C1Boss-DashAttackHitbox:40;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:10;C1CannonExplode(Clone)-C1CannonExplode(Clone):10;C1Boss-CounterAttackHitbox:10"
