SerialNumber,6984455e9dddce9c12b4da8434c06568a4c38173
TotalPlayTime,1653.14
TotalDeathCount,4
TotalKilledEnemies,162
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",114.18,34,0,430.00,12.68,33.9029,23,0,375.00,17.87,20.9888,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff}",110.00,14,0,19,0,1,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:30;C1PistolMobForDashTutorial-AttackHitbox:50;C1TonpaMobPrefab (1)-AttackHitbox:20"
"C1_Stage2_2","",29.18,11,0,150.00,5.70,26.3160,1,0,0.00,0.87,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,6,1,12,0,0,"C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_3","",57.35,44,0,590.00,17.60,33.5228,12,0,81.00,6.37,12.7225,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",40.00,18,2,11,2,0,"C1PistolMobForDashTutorial-AttackHitbox:20;C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage2_4","",126.03,80,0,1230.00,35.02,35.1263,28,0,825.00,13.47,61.2623,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff}",120.00,42,5,22,2,1,"C1GunnerMobPrefab-RangedAttackHitbox:30;C1TonpaMobPrefab (11)-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:20;C1TonpaMobPrefab (3)-AttackHitbox:10;C1PistolMob-AttackHitbox:40;C1TonpaMobPrefab (16)-AttackHitbox:10"
"C1_Stage2_5","",39.27,13,0,110.00,5.62,19.5842,13,0,243.00,6.38,38.0674,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",30.00,7,1,4,1,0,"C1TonpaMobPrefab-AttackHitbox:10;C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (19)-AttackHitbox:10"
"C1_Stage2_6","",66.63,34,0,570.00,12.78,44.5891,18,0,393.00,8.95,43.9109,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff}",60.00,18,6,4,1,0,"C1PistolMob-AttackHitbox:20;C1TonpaMobPrefab (5)-AttackHitbox:10;C1GunnerMobPrefab (3)-RangedAttackHitbox:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",90.42,16,0,111.00,8.18,13.5641,27,0,103.50,18.27,5.6660,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun}",60.00,23,1,6,0,0,"C1SandMecha-MeleeHitbox:10;C1SandMecha (1)-MeleeHitbox:10;C1SandMecha (4)-MeleeHitbox:10;C1SandMecha (7)-MeleeHitbox:10;C1SandMecha (5)-MeleeHitbox:10;C1SandMecha (2)-MeleeHitbox:10"
"C1_Stage3_1","",20.53,6,0,90.00,4.25,21.1759,5,0,75.00,2.22,33.8345,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff}",0.00,6,0,3,0,0,""
"C1_Stage3_2","",101.27,33,0,326.00,15.08,21.6129,17,0,293.00,14.40,20.3477,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun}",80.00,32,2,21,2,1,"C1PistolMob (2)-AttackHitbox:40;C1TonpaMobPrefab (4)-AttackHitbox:10;C1TonpaMobPrefab (5)-AttackHitbox:10;FallDamageArea (1)-:20"
"C1_Stage3_3","",77.17,30,0,353.00,12.07,29.2536,24,0,364.50,15.62,23.3404,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff}",90.00,21,1,20,3,1,"C1PistolMob-AttackHitbox:50;C1GunnerMobPrefab (1)-RangedAttackHitbox:20;C1EliteTonpaMob (1)-Rush Attack:10;C1EliteTonpaMob (1)-Attack:10"
"C1_Stage3_4","",68.02,0,0,0.00,0.45,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,1,0,0,0,0,""
"C1_Stage3_5","",83.80,50,0,612.00,18.67,32.7869,31,0,363.00,17.93,20.2420,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff};{order:15,from:Staff,to:Shotgun};{order:16,from:Shotgun,to:Staff};{order:17,from:Staff,to:Shotgun};{order:18,from:Shotgun,to:Staff}",70.00,30,3,9,4,0,"C1SandMecha-DashAttackHitbox:10;C1PistolMob (5)-AttackHitbox:20;C1EliteTonpaMob-Attack:20;C1GunnerMobPrefab-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_6","",60.22,25,0,345.00,10.13,34.0466,15,0,192.00,8.28,23.1781,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff}",20.00,16,0,5,1,0,"C1EliteTonpaMob-Rush Attack:10;C1SandMecha-MeleeHitbox:10"
"C1_Stage3_7","",156.66,43,0,0.00,16.50,0.0000,30,0,0.00,19.62,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff}",110.00,24,2,13,3,0,"C1MidBoss-TangTang 1:60;C1MidBoss-KickKick 1:10;C1MidBoss-RushKick:10;C1MidBoss-TangTang 2:10;C1MidBoss-KickKick 2:10;C1MidBoss-Taaang:10"
