SerialNumber,6984455e9dddce9c12b4da8434c06568a4c38173
TotalPlayTime,1493.66
TotalDeathCount,0
TotalKilledEnemies,154
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",53.95,44,0,530.00,13.48,39.3048,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,10,8,1,3,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_2","",13.63,10,0,150.00,3.70,40.5384,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,3,3,3,0,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_3","",45.50,44,0,607.00,13.08,46.3935,6,0,63.00,4.18,15.0606,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,10,5,6,2,0,"C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab (9)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_4","",57.38,82,0,1040.00,21.73,47.8537,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,16,10,8,6,0,"C1PistolMob-AttackHitbox:30;C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab (16)-AttackHitbox:10"
"C1_Stage2_5","",31.85,34,0,323.00,9.40,34.3621,3,0,3.00,0.87,3.4614,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,6,4,2,2,0,""
"C1_Stage2_6","",51.38,71,0,932.00,20.43,45.6123,3,0,4.00,2.42,1.6551,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,16,7,0,5,0,"C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",74.41,31,0,611.00,10.87,56.2268,19,0,213.00,13.52,15.7584,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",40.00,16,1,1,4,0,"C1SandMecha-MeleeHitbox:10;C1SandMecha (7)-MeleeHitbox:10;C1SandMecha (3)-MeleeHitbox:10;C1SandMecha (6)-MeleeHitbox:10"
"C1_Stage3_1","",71.90,11,0,150.00,4.18,35.8585,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",70.00,5,1,14,1,0,"FallDamageArea-:70"
"C1_Stage3_2","",45.90,32,0,450.00,11.02,40.8474,2,0,3.00,1.77,1.6982,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",60.00,8,0,4,1,0,"C1PistolMob (2)-AttackHitbox:20;FallDamageArea (1)-:20;C1TonpaMobPrefab (2)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_3","",30.12,40,0,480.00,13.52,35.5106,3,0,3.00,0.87,3.4595,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,8,2,1,2,0,"C1PistolMob-AttackHitbox:20;C1EliteTonpaMob (1)-Rush Attack:10;C1EliteTonpaMob (1)-Attack:10"
