SerialNumber,6984455e9dddce9c12b4da8434c06568a4c38173
TotalPlayTime,1645.43
TotalDeathCount,2
TotalKilledEnemies,127
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",143.40,41,0,410.00,20.81,19.6979,32,0,445.00,24.13,18.4404,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",100.00,39,9,25,3,1,"C1PistolMobForDashTutorial-AttackHitbox:60;C1TonpaMobPrefab (2)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_2","",12.60,11,0,150.00,4.20,35.7168,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,4,0,5,0,0,""
"C1_Stage2_3","",52.62,45,0,460.00,16.55,27.7941,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,9,6,16,4,0,"C1PistolMobForDashTutorial-AttackHitbox:10;FallDamageArea-:20;C1PistolMob (1)-AttackHitbox:20;FallDamageArea (1)-:10"
"C1_Stage2_4","",48.38,39,0,670.00,12.02,55.7585,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,10,2,19,2,0,"C1TonpaMobPrefab (16)-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_5","",34.62,17,0,150.00,5.27,28.4814,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",10.00,3,0,17,1,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",76.07,52,0,645.00,16.20,39.8131,19,0,306.00,12.43,24.6107,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff}",60.00,15,0,16,3,0,"C1PistolMob-AttackHitbox:20;C1TonpaMobPrefab (2)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",53.01,13,0,102.00,6.45,15.8147,6,0,6.00,2.90,2.0687,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,6,0,13,0,0,"C1SandMecha-MeleeHitbox:20"
"C1_Stage3_1","",33.32,13,0,150.00,7.38,20.3134,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,11,5,17,2,0,"C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",45.18,31,0,443.00,12.38,35.7754,5,0,33.00,2.22,14.8896,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,10,0,12,1,0,"C1PistolMob (2)-AttackHitbox:30;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage3_3","",33.80,36,0,450.00,12.47,36.0959,4,0,33.00,2.58,12.7758,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",20.00,7,1,12,1,0,"C1PistolMob-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage3_4","",72.07,3,0,0.00,1.00,0.0000,1,0,0.00,0.87,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",0.00,0,0,4,0,0,""
"C1_Stage3_5","",95.58,70,0,814.00,29.28,27.7975,29,0,141.00,22.60,6.2386,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff}",20.00,28,0,12,0,0,"C1EliteTonpaMob-Rush Attack:20"
