SerialNumber,6984455e9dddce9c12b4da8434c06568a4c38173
TotalPlayTime,1259.60
TotalDeathCount,0
TotalKilledEnemies,137
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",67.33,35,0,420.00,12.57,33.4147,6,0,135.00,3.15,42.8518,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",60.00,10,3,3,2,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:30;C1TonpaMobPrefab-AttackHitbox:20"
"C1_Stage2_2","",13.43,11,0,150.00,2.93,51.1318,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,3,0,2,1,0,""
"C1_Stage2_3","",55.22,57,0,598.00,17.25,34.6647,10,0,66.00,8.12,8.1309,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,18,7,5,8,0,"C1PistolMobForDashTutorial-AttackHitbox:20"
"C1_Stage2_4","",68.35,78,0,920.00,21.43,42.9233,6,0,135.00,1.63,82.6300,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",80.00,18,7,7,8,0,"C1TonpaMobPrefab (12)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:20;C1PistolMob (2)-AttackHitbox:20;C1TonpaMobPrefab (2)-AttackHitbox:10;C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10"
"C1_Stage2_5","",46.90,22,0,232.00,8.85,26.2187,15,0,84.00,13.90,6.0434,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,8,1,2,1,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",64.65,69,0,893.00,19.23,46.4297,5,0,33.00,2.02,16.3721,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,16,7,0,7,0,"C1PistolMob-AttackHitbox:30;C1TonpaMobPrefab (4)-AttackHitbox:10"
"C1_Stage2_7","",105.16,29,0,490.00,10.12,48.4278,30,0,354.00,23.03,15.3685,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",70.00,26,1,2,6,0,"C1SandMecha-MeleeHitbox:30;C1SandMecha (4)-MeleeHitbox:10;C1SandMecha (5)-MeleeHitbox:20;C1SandMecha (6)-MeleeHitbox:10"
"C1_Stage3_1","",36.33,11,0,150.00,4.38,34.2322,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,5,1,4,1,0,"FallDamageArea-:20;C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage3_2","",41.53,28,0,441.00,11.43,38.5706,6,0,21.00,3.80,5.5266,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",30.00,16,3,2,2,0,"C1PistolMob (2)-AttackHitbox:20;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage3_3","",34.17,39,0,460.00,13.50,34.0667,4,0,18.00,1.53,11.7401,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,11,4,2,2,0,""
"C1_Stage3_4","",61.52,5,0,0.00,2.58,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,0,0,0,0,""
"C1_Stage3_5","",63.87,82,0,875.00,27.17,32.2082,20,0,63.00,9.25,6.8094,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff}",10.00,24,1,0,5,0,"C1EliteTonpaMob-Attack:10"
"C1_Stage3_6","",1.96,0,0,0.00,0.42,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
