SerialNumber,6984455e9dddce9c12b4da8434c06568a4c38173
TotalPlayTime,1212.95
TotalDeathCount,4
TotalKilledEnemies,90
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",90.95,78,0,640.00,27.30,23.4431,6,0,90.00,2.52,35.7617,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",70.00,20,14,10,2,1,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:40;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_2","",8.98,0,0,0.00,0.45,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,1,0,5,0,0,""
"C1_Stage2_3","",23.07,1,0,0.00,3.33,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,8,4,9,0,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage2_4","",47.77,27,0,540.00,12.73,42.4082,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,19,12,17,2,0,"C1PistolMob (2)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_5","",20.07,0,0,0.00,1.17,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,3,1,8,0,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",70.25,52,0,841.00,20.08,41.8752,16,0,144.00,15.45,9.3204,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",40.00,20,5,8,2,0,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMob-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_7","",153.09,33,0,221.00,23.77,9.2987,33,0,87.00,28.37,3.0670,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Staff}",150.00,39,1,12,2,2,"C1SandMecha-MeleeHitbox:50;C1SandMecha (3)-LandingImpactHitbox:50;C1SandMecha (7)-LandingImpactHitbox:50"
"C1_Stage3_1","",41.07,10,0,170.00,6.77,25.1227,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,9,0,9,0,0,"FallDamageArea-:40;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",40.83,38,0,435.00,15.85,27.4451,5,0,33.00,2.07,15.9679,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,17,0,5,2,0,"C1PistolMob (2)-AttackHitbox:20;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_3","",52.42,78,0,785.00,26.13,30.0382,8,0,63.00,4.30,14.6510,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",70.00,17,1,3,1,1,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1PistolMob-AttackHitbox:40;C1GunnerMobPrefab (1)-Hitboxes:10;C1EliteTonpaMob (1)-Attack:10"
"C1_Stage3_4","",97.02,0,0,0.00,0.90,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,1,0,0,0,0,""
