SerialNumber,6984455e9dddce9c12b4da8434c06568a4c38173
TotalPlayTime,1455.83
TotalDeathCount,4
TotalKilledEnemies,142
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",59.10,54,0,550.00,19.22,28.6193,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,13,2,2,1,0,"C1PistolMobForDashTutorial-AttackHitbox:30"
"C1_Stage2_2","",21.17,15,0,150.00,5.10,29.4084,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,2,1,5,0,0,"C1TonpaMobPrefab-AttackHitbox:10;FallDamageArea-:30"
"C1_Stage2_3","",97.73,132,0,903.00,36.90,24.4716,8,0,93.00,5.93,15.6722,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",130.00,16,10,17,7,1,"C1PistolMobForDashTutorial-AttackHitbox:20;C1TonpaMobPrefab (4)-AttackHitbox:10;C1TonpaMobPrefab (6)-AttackHitbox:20;C1PistolMob (1)-AttackHitbox:30;C1TonpaMobPrefab (8)-AttackHitbox:10;C1EliteTonpaMob-Attack:20;C1EliteTonpaMob-Rush Attack:20"
"C1_Stage2_4","",65.88,67,0,830.00,18.53,44.7869,9,0,255.00,5.08,50.1768,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,11,5,20,6,0,"C1TonpaMobPrefab (12)-AttackHitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_5","",32.48,28,0,310.00,8.52,36.3995,3,0,3.00,1.67,1.8002,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",10.00,3,0,11,1,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",57.78,72,0,916.00,23.22,39.4534,3,0,18.00,1.70,10.5870,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,16,2,7,6,0,"C1PistolMob-AttackHitbox:20;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_7","",94.36,33,0,182.00,10.72,16.9835,10,0,27.00,7.42,3.6401,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",70.00,5,3,24,1,1,"C1SandMecha-MeleeHitbox:20;C1SandMecha (3)-LandingImpactHitbox:50"
"C1_Stage3_1","",43.38,11,0,170.00,6.27,27.1301,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,7,0,16,1,1,"FallDamageArea-:50;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",41.93,32,0,457.00,11.37,40.2069,7,0,21.00,3.85,5.4537,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",40.00,7,1,16,2,0,"FallDamageArea (1)-:10;C1EliteTonpaMob-Attack:20;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10"
"C1_Stage3_3","",35.50,48,0,471.00,15.53,30.3202,2,0,33.00,1.32,25.0590,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,7,0,13,2,0,"C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage3_4","",61.32,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,5,0,0,""
