SerialNumber,304f6ae68a8495d8003eece1e2200cde17d6d50f
TotalPlayTime,2479.61
TotalDeathCount,6
TotalKilledEnemies,261
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",65.45,35,0,390.00,9.65,40.4147,16,0,180.00,7.70,23.3770,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff}",10.00,9,2,2,4,0,"C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_2","",11.84,9,0,150.00,2.92,51.4293,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,1,0,3,0,0,""
"C1_Stage2_3","",38.14,52,0,510.00,12.82,39.7924,8,0,153.00,3.63,42.1098,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,8,3,6,3,0,"C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab (9)-AttackHitbox:10"
"C1_Stage2_4","",112.16,58,0,810.00,17.53,46.1974,69,0,1070.00,22.72,47.1026,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",70.00,25,3,15,4,1,"C1PistolMob-AttackHitbox:40;C1PistolMob (2)-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_5","",32.54,26,0,290.00,8.42,34.4559,4,0,33.00,2.07,15.9674,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,4,1,5,0,0,"C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (19)-AttackHitbox:10"
"C1_Stage2_6","",67.11,63,0,835.00,17.58,47.4884,7,0,93.00,2.58,35.9994,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",10.00,12,4,3,4,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_7","",55.24,7,0,80.00,1.72,46.6017,10,0,21.00,5.48,3.8298,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,4,0,5,1,0,""
"C1_Stage3_1","",53.66,13,0,150.00,5.98,25.0709,1,0,0.00,0.87,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,8,1,11,1,0,"FallDamageArea-:10"
"C1_Stage3_2","",37.78,33,0,400.00,8.97,44.6096,9,0,63.00,4.63,13.5961,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",10.00,9,2,3,4,0,"C1PistolMob (2)-AttackHitbox:10"
"C1_Stage3_3","",31.59,41,0,380.00,10.85,35.0227,10,0,123.00,4.87,25.2732,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff}",10.00,9,3,0,4,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
