SerialNumber,b36c49fea559ce5792f29f9e5573d7f68544e24b
TotalPlayTime,1649.57
TotalDeathCount,6
TotalKilledEnemies,158
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",93.77,86,0,930.00,26.43,35.1830,8,0,90.00,4.22,21.3438,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",50.00,26,8,7,5,1,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:20;C1TonpaMobPrefab (3)-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10"
"C1_Stage2_2","",8.97,14,0,160.00,4.17,38.3993,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,4,0,2,1,0,""
"C1_Stage2_3","",40.43,49,0,571.00,15.13,37.7317,5,0,79.00,1.55,50.9681,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,11,4,7,4,0,"C1PistolMob (1)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10;FallDamageArea (1)-:10"
"C1_Stage2_4","",61.78,79,0,1020.00,25.30,40.3163,5,0,60.00,1.78,33.6450,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,20,11,8,6,0,"C1PistolMob-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_5","",31.60,23,0,274.00,6.98,39.2373,5,0,48.00,2.30,20.8697,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",0.00,8,4,2,3,0,""
"C1_Stage2_6","",61.45,65,0,867.00,19.07,45.4716,12,0,81.00,5.67,14.2942,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,19,12,2,5,0,"C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_7","",86.96,16,0,200.00,6.10,32.7867,18,0,15.00,11.33,1.3235,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun}",60.00,12,2,6,1,1,"C1SandMecha-MeleeHitbox:10;C1SandMecha (6)-LandingImpactHitbox:50"
"C1_Stage3_1","",19.17,10,0,120.00,4.03,29.7521,3,0,60.00,1.07,56.2509,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,4,1,2,1,0,""
"C1_Stage3_2","",41.87,37,0,440.00,13.22,33.2910,11,0,48.00,6.82,7.0416,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,15,7,5,5,0,"C1PistolMob (2)-AttackHitbox:10;FallDamageArea (1)-:10"
"C1_Stage3_3","",30.25,40,0,460.00,12.93,35.5676,4,0,18.00,1.83,9.8173,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,12,5,5,2,0,"C1PistolMob-AttackHitbox:20;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage3_4","",77.70,0,0,0.00,1.80,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,4,0,4,0,0,""
"C1_Stage3_5","",106.50,98,0,1291.00,27.13,47.5791,39,0,403.50,21.60,18.6806,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff}",60.00,27,16,1,10,1,"C1SandMecha-MeleeHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:20;C1EliteTonpaMob-Rush Attack:10;C1EliteTonpaMob-Attack:10;C1PistolMob (5)-AttackHitbox:10"
"C1_Stage3_6","",89.57,32,0,415.00,11.75,35.3192,14,0,102.00,5.67,18.0001,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",0.00,12,3,19,2,0,""
"C1_Stage3_7","",243.25,174,0,0.00,58.37,0.0000,11,0,0.00,5.53,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",140.00,48,25,0,8,3,"C1MidBoss-TangTang 1:60;C1MidBoss-KickKick 1:20;C1MidBoss-RushKick:20;C1MidBoss-TangTang 2:10;C1MidBoss-KickKick 2:30"
