SerialNumber,6984455e9dddce9c12b4da8434c06568a4c38173
TotalPlayTime,1492.46
TotalDeathCount,1
TotalKilledEnemies,145
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",51.60,39,0,480.00,12.37,38.8147,5,0,75.00,3.20,23.4361,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",40.00,8,2,1,1,0,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_2","",23.55,14,0,150.00,4.20,35.7126,0,0,0.00,0.45,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",20.00,3,0,3,0,0,"C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_3","",46.45,74,0,574.00,20.25,28.3460,14,0,93.00,8.02,11.6009,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff}",20.00,16,11,5,7,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1EliteTonpaMob-Attack:10"
"C1_Stage2_4","",87.17,61,0,770.00,19.60,39.2870,28,0,570.00,18.03,31.6088,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun}",100.00,20,5,13,3,1,"C1PistolMob-AttackHitbox:30;C1GunnerMobPrefab-RangedAttackHitbox:20;C1TonpaMobPrefab (11)-AttackHitbox:10;C1TonpaMobPrefab (12)-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:10;C1TonpaMobPrefab (14)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_5","",41.78,19,0,145.00,4.83,30.0005,20,0,183.00,11.40,16.0531,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun}",10.00,7,5,3,4,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",67.75,59,0,520.00,16.90,30.7694,33,0,468.00,18.08,25.8814,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun}",40.00,17,7,1,5,0,"C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:20;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",58.83,5,0,50.00,1.62,30.9225,12,0,55.50,14.07,3.9456,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun}",40.00,8,0,7,0,0,"C1SandMecha-MeleeHitbox:20;C1SandMecha (5)-MeleeHitbox:10;C1SandMecha (2)-MeleeHitbox:10"
"C1_Stage3_1","",21.22,9,0,60.00,1.83,32.7244,9,0,105.00,4.17,25.2010,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun}",0.00,4,1,3,1,0,""
"C1_Stage3_2","",41.88,27,0,340.00,9.33,36.4270,14,0,168.00,11.40,14.7363,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff}",40.00,11,0,8,1,0,"C1PistolMob (2)-AttackHitbox:20;C1TonpaMobPrefab (3)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_3","",35.33,27,0,360.00,6.98,51.5508,15,0,138.00,11.58,11.9143,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",20.00,10,3,1,3,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage3_4","",74.18,0,0,0.00,0.00,NaN,0,0,0.00,0.70,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,1,0,1,0,0,""
"C1_Stage3_5","",69.23,34,0,410.00,8.55,47.9529,49,0,573.00,32.05,17.8780,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff}",30.00,16,5,1,6,0,"C1SandMecha-MeleeHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:20"
"C1_Stage3_6","",71.95,15,0,200.00,4.53,44.1189,27,0,348.00,22.37,15.5590,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",40.00,14,3,10,1,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10;C1SandMecha-MeleeHitbox:10"
"C1_Stage3_7","",115.66,55,0,0.00,12.97,0.0000,9,0,0.00,5.83,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",30.00,9,7,3,5,0,"C1MidBoss-KickKick 2:30"
