SerialNumber,6984455e9dddce9c12b4da8434c06568a4c38173
TotalPlayTime,1500.45
TotalDeathCount,8
TotalKilledEnemies,150
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",66.05,36,0,400.00,10.07,39.7323,12,0,150.00,7.10,21.1279,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",50.00,11,2,14,3,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:30"
"C1_Stage2_2","",14.25,19,0,160.00,6.38,25.0712,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,4,0,3,1,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_3","",54.33,70,0,690.00,19.68,35.0528,10,0,153.00,3.70,41.3492,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",80.00,15,8,8,6,1,"C1PistolMobForDashTutorial-AttackHitbox:50;C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab (9)-AttackHitbox:10;C1EliteTonpaMob-Attack:10"
"C1_Stage2_4","",88.28,70,0,1040.00,17.35,59.9437,18,0,475.00,8.07,58.8933,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff}",150.00,13,11,9,7,2,"C1PistolMob-AttackHitbox:60;C1TonpaMobPrefab (12)-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:30;C1PistolMob (2)-AttackHitbox:10;C1TonpaMobPrefab (18)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_5","",39.43,35,0,331.00,11.20,29.5479,2,0,4.00,1.37,2.9278,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",30.00,8,4,3,1,0,"C1EliteTonpaMob-Rush Attack:10;C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (20)-AttackHitbox:10"
"C1_Stage2_6","",55.95,67,0,879.00,17.17,51.2000,7,0,48.00,3.85,12.4656,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun}",60.00,12,7,3,4,0,"C1PistolMob-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (5)-AttackHitbox:10;C1TonpaMobPrefab (7)-AttackHitbox:10;C1EliteTonpaMob-Attack:10"
"C1_Stage2_7","",319.71,94,0,1803.50,31.16,57.8766,70,0,714.00,46.22,15.4489,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff};{order:14,from:Staff,to:Shotgun};{order:15,from:Shotgun,to:Staff};{order:16,from:Staff,to:Shotgun};{order:17,from:Shotgun,to:Staff};{order:18,from:Staff,to:Shotgun};{order:19,from:Shotgun,to:Staff};{order:20,from:Staff,to:Shotgun};{order:21,from:Shotgun,to:Staff};{order:22,from:Staff,to:Shotgun};{order:23,from:Shotgun,to:Staff};{order:24,from:Staff,to:Shotgun};{order:25,from:Shotgun,to:Staff};{order:26,from:Staff,to:Staff};{order:27,from:Staff,to:Shotgun};{order:28,from:Shotgun,to:Staff}",310.00,36,10,4,7,4,"C1SandMecha-MeleeHitbox:60;C1SandMecha (3)-MeleeHitbox:20;C1SandMecha (6)-MeleeHitbox:30;C1SandMecha (7)-DashAttackHitbox:10;C1SandMecha (7)-MeleeHitbox:40;C1SandMecha (4)-MeleeHitbox:30;C1SandMecha (1)-LandingImpactHitbox:50;C1SandMecha (2)-MeleeHitbox:30;C1SandMecha (3)-DashAttackHitbox:20;C1SandMecha (1)-MeleeHitbox:10;C1SandMecha (2)-DashAttackHitbox:10"
"C1_Stage3_1","",27.70,9,0,150.00,4.10,36.5714,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,5,1,12,1,0,"FallDamageArea-:20;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",41.65,39,0,440.00,12.62,34.8731,5,0,18.00,2.07,8.7149,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",30.00,12,4,2,4,0,"C1PistolMob (2)-AttackHitbox:10;FallDamageArea (1)-:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage3_3","",58.33,32,0,371.00,8.28,44.7842,53,0,521.00,17.99,28.9680,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff}",40.00,15,3,0,7,1,"C1PistolMob-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:30"
