SerialNumber,6984455e9dddce9c12b4da8434c06568a4c38173
TotalPlayTime,1796.11
TotalDeathCount,10
TotalKilledEnemies,187
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",77.93,58,0,550.00,17.28,31.8210,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,10,0,6,1,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:40;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_2","",13.37,18,0,150.00,4.67,32.1473,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,5,0,2,2,0,""
"C1_Stage2_3","",261.05,271,0,2919.00,81.23,35.9365,17,0,111.00,12.17,9.1238,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",400.00,41,0,41,1,6,"C1PistolMobForDashTutorial-AttackHitbox:150;C1PistolMob (1)-AttackHitbox:90;C1TonpaMobPrefab (6)-AttackHitbox:20;C1TonpaMobPrefab (5)-AttackHitbox:20;C1TonpaMobPrefab (9)-AttackHitbox:30;C1EliteTonpaMob-Rush Attack:60;C1TonpaMobPrefab (10)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab (7)-AttackHitbox:10"
"C1_Stage2_4","",132.47,153,0,2000.00,45.63,43.8281,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",110.00,23,0,27,1,1,"C1PistolMob-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:50;C1PistolMob (2)-AttackHitbox:20;C1TonpaMobPrefab (14)-AttackHitbox:10;C1TonpaMobPrefab (13)-AttackHitbox:10"
"C1_Stage2_5","",64.48,32,0,238.00,10.12,23.5266,15,0,84.00,14.05,5.9787,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,6,0,7,0,0,"C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:10;C1PistolMob-AttackHitbox:20"
"C1_Stage2_6","",104.63,84,0,877.00,25.98,33.7549,27,0,84.00,23.02,3.6495,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",90.00,17,0,6,0,0,"C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10;C1TonpaMobPrefab (6)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:40;C1EliteTonpaMob-Attack:10"
"C1_Stage2_7","",60.29,10,0,72.00,3.20,22.4986,10,0,36.00,7.75,4.6452,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,1,0,5,0,0,"C1SandMecha-MeleeHitbox:20"
"C1_Stage3_1","",61.95,12,0,160.00,4.20,38.0935,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",80.00,3,0,8,0,0,"FallDamageArea-:70;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",101.42,77,0,691.00,23.11,29.8962,17,0,84.00,14.70,5.7142,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",150.00,13,0,10,0,2,"C1TonpaMobPrefab (4)-AttackHitbox:20;C1PistolMob (2)-AttackHitbox:50;FallDamageArea (1)-:20;C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10;C1EliteTonpaMob-Rush Attack:20;C1EliteTonpaMob-Attack:10"
"C1_Stage3_3","",37.67,38,0,460.00,10.75,42.7907,4,0,33.00,2.03,16.2306,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff}",30.00,3,0,1,0,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage3_4","",89.18,2,0,0.00,0.93,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_5","",38.25,14,0,66.00,4.10,16.0953,2,0,1.50,0.58,2.5729,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",40.00,0,0,1,0,1,"C1SandMecha-MeleeHitbox:40"
