SerialNumber,8bfa8db405f1a0c16e73a360d36460baa0b734b5
TotalPlayTime,2381.24
TotalDeathCount,5
TotalKilledEnemies,271
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",59.45,26,0,280.00,7.92,35.3683,22,0,300.00,12.68,23.6533,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun}",20.00,10,2,2,2,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_2","",12.28,4,0,30.00,1.33,22.5003,4,0,135.00,2.50,54.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun}",0.00,1,0,2,0,0,""
"C1_Stage2_3","",41.13,27,0,360.00,7.55,47.6818,19,0,318.00,9.18,34.6277,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun}",0.00,12,3,8,6,0,""
"C1_Stage2_4","",59.88,48,0,710.00,12.53,56.6487,16,0,330.00,7.42,44.4950,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun}",40.00,17,2,17,3,0,"C1PistolMob-AttackHitbox:20;C1PistolMob (2)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_5","",42.42,18,0,110.00,5.73,19.1862,18,0,228.00,10.12,22.5374,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun}",30.00,7,0,6,0,0,"C1EliteTonpaMob-Rush Attack:10;C1PistolMob-AttackHitbox:20"
"C1_Stage2_6","",69.65,42,0,590.00,14.33,41.1630,19,0,348.00,9.43,36.8906,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff};{order:14,from:Staff,to:Shotgun};{order:15,from:Shotgun,to:Staff};{order:16,from:Staff,to:Shotgun}",20.00,14,0,1,1,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_7","",75.98,26,0,338.00,7.15,47.2726,25,0,97.50,15.38,6.3381,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun}",60.00,14,0,1,6,0,"C1SandMecha (1)-MeleeHitbox:10;C1SandMecha (7)-MeleeHitbox:10;C1SandMecha (5)-DashAttackHitbox:10;C1SandMecha (3)-MeleeHitbox:10;C1SandMecha (4)-MeleeHitbox:10;C1SandMecha (2)-MeleeHitbox:10"
"C1_Stage3_1","",58.27,23,0,240.00,10.92,21.9846,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Staff}",70.00,11,1,12,0,1,"FallDamageArea-:40;C1TonpaMobPrefab-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:20"
"C1_Stage3_2","",51.32,22,0,304.00,8.72,34.8752,21,0,172.50,11.70,14.7437,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun}",20.00,14,0,6,1,0,"C1PistolMob (2)-AttackHitbox:10;FallDamageArea (1)-:10"
"C1_Stage3_3","",36.00,29,0,362.00,8.87,40.8264,13,0,168.00,6.93,24.2311,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun}",30.00,10,2,5,1,0,"C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1EliteTonpaMob (1)-Rush Attack:10"
"C1_Stage3_4","",78.55,4,0,0.00,2.90,0.0000,1,0,0.00,0.87,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",0.00,4,2,0,0,0,""
"C1_Stage3_5","",143.62,91,0,957.00,30.27,31.6189,75,0,589.00,37.67,15.6372,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff};{order:15,from:Staff,to:Shotgun};{order:16,from:Shotgun,to:Staff};{order:17,from:Staff,to:Shotgun};{order:18,from:Shotgun,to:Staff};{order:19,from:Staff,to:Shotgun};{order:20,from:Shotgun,to:Staff};{order:21,from:Staff,to:Shotgun}",150.00,34,3,18,3,2,"C1SandMecha-LandingImpactHitbox:50;C1SandMecha-MeleeHitbox:20;C1EliteTonpaMob-Attack:10;C1PistolMob (5)-AttackHitbox:20;C1TonpaMobPrefab (1)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:40"
"C1_Stage3_6","",79.77,22,0,228.00,6.88,33.1231,25,0,300.00,17.92,16.7439,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun}",10.00,16,0,16,4,0,"C1EliteTonpaMob (1)-Rush Attack:10"
"C1_Stage3_7","",141.40,85,0,0.00,28.52,0.0000,4,0,0.00,3.00,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",80.00,23,4,15,3,0,"C1MidBoss-TangTang 1:10;C1MidBoss-RushKick:10;C1MidBoss-KickKick 2:10;C1MidBoss-TangTang 2:30;C1MidBoss-Taaang:20"
"C1_Boss_1","",51.00,23,0,110.00,9.90,11.1110,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",0.00,6,5,0,0,0,""
