SerialNumber,b36c49fea559ce5792f29f9e5573d7f68544e24b
TotalPlayTime,1755.02
TotalDeathCount,0
TotalKilledEnemies,229
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",50.48,52,0,530.00,18.27,29.0143,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,22,6,6,4,0,"C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_2","",10.32,9,0,150.00,4.02,37.3439,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,4,1,3,0,0,""
"C1_Stage2_3","",30.60,45,0,590.00,13.15,44.8666,5,0,63.00,1.72,36.6989,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,14,5,6,5,0,"C1PistolMob (1)-AttackHitbox:10"
"C1_Stage2_4","",56.95,71,0,810.00,22.38,36.1878,10,0,285.00,4.68,60.8531,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",60.00,25,13,9,5,0,"C1PistolMob-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:10;C1PistolMob (2)-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_5","",29.77,27,0,320.00,8.47,37.7950,5,0,33.00,2.00,16.5000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,6,3,3,2,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",53.57,79,0,751.00,20.43,36.7535,11,0,168.00,4.25,39.5294,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",30.00,17,10,0,5,0,"C1TonpaMobPrefab-AttackHitbox:10;C1PistolMob-AttackHitbox:10;C1EliteTonpaMob-Hitboxes:10"
"C1_Stage2_7","",42.78,8,0,100.00,3.82,26.2002,5,0,6.00,2.45,2.4490,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,7,0,2,1,0,""
"C1_Stage3_1","",19.52,18,0,160.00,6.40,25.0001,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,7,2,2,1,0,""
"C1_Stage3_2","",45.95,46,0,426.00,16.30,26.1351,10,0,34.50,4.82,7.1627,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",30.00,16,6,4,3,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1PistolMob (2)-AttackHitbox:10;FallDamageArea (1)-:10"
"C1_Stage3_3","",27.88,40,0,450.00,11.57,38.9050,7,0,33.00,2.88,11.4452,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",20.00,10,4,4,2,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1EliteTonpaMob (1)-Rush Attack:10"
"C1_Stage3_4","",53.40,0,0,0.00,0.00,NaN,0,0,0.00,1.35,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,3,0,2,0,0,""
"C1_Stage3_5","",58.07,65,0,760.00,19.72,38.5462,24,0,181.00,11.85,15.2744,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff}",40.00,19,8,0,2,0,"C1SandMecha-MeleeHitbox:20;C1EliteTonpaMob-Rush Attack:20"
"C1_Stage3_6","",51.90,28,0,412.00,10.88,37.8560,11,0,102.00,4.85,21.0310,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,12,3,3,2,0,"C1EliteTonpaMob (1)-Rush Attack:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage3_7","",93.97,56,0,0.00,16.53,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,11,8,1,3,0,"C1MidBoss-KickKick 2:10;C1MidBoss-TangTang 1:10"
"C1_Boss_1","",36.85,6,0,100.00,2.57,38.9594,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,3,1,0,1,0,""
"C1_Boss_2","",68.38,102,0,1102.00,29.87,36.8974,26,0,271.00,8.93,30.3354,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff}",40.00,25,11,0,6,0,"C1EliteTonpaMob-Rush Attack:30;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_3","",52.27,59,0,823.00,18.67,44.0888,15,0,114.00,8.28,13.7626,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",40.00,17,8,0,1,0,"C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10;C1TonpaMobPrefab-AttackHitbox:10;C1EliteTonpaMob-Attack:10;C1PistolMob (1)-AttackHitbox:10"
"C1_Boss_4","",88.17,74,0,850.00,23.03,36.9034,10,0,108.00,4.23,25.5107,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",30.00,25,10,1,5,0,"C1PistolMob (2)-AttackHitbox:20;C1PistolMob (3)-AttackHitbox:10"
"C1_Boss_5","",68.67,32,0,486.00,14.00,34.7146,11,0,150.00,5.05,29.7020,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",30.00,19,6,2,1,0,"C1EliteTonpaMob (1)-Rush Attack:10;C1TonpaMobPrefab (8)-AttackHitbox:10;C1SandMecha-MeleeHitbox:10"
"C1_Boss_6","",25.18,24,0,403.00,8.48,47.5046,7,0,93.00,3.05,30.4913,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",30.00,11,3,2,1,0,"C1TonpaMobPrefab (6)-AttackHitbox:10;C1EliteTonpaMob (2)-Rush Attack:10;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Boss_7","",247.52,63,0,726.00,21.08,34.4349,21,0,105.00,13.45,7.8066,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun}",30.00,14,1,1,1,0,"C1Boss-CounterAttackHitbox:10;C1CannonExplode(Clone)-C1CannonExplode(Clone):20"
