SerialNumber,6984455e9dddce9c12b4da8434c06568a4c38173
TotalPlayTime,1894.52
TotalDeathCount,4
TotalKilledEnemies,247
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",67.42,41,0,430.00,13.55,31.7354,5,0,105.00,4.97,21.1414,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff}",50.00,14,5,0,1,0,"C1PistolMobForDashTutorial-AttackHitbox:40;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_2","",10.87,11,0,150.00,3.82,39.3015,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,3,1,2,0,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_3","",54.38,44,0,415.00,12.33,33.6475,20,0,258.00,8.60,30.0005,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff};{order:15,from:Staff,to:Shotgun}",60.00,9,4,5,2,0,"C1PistolMobForDashTutorial-AttackHitbox:20;C1PistolMob (1)-AttackHitbox:20;C1EliteTonpaMob-Rush Attack:20"
"C1_Stage2_4","",68.07,78,0,720.00,19.03,37.8301,20,0,375.00,8.20,45.7320,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff}",90.00,18,9,8,7,0,"C1PistolMob-AttackHitbox:30;C1PistolMob (2)-AttackHitbox:20;C1TonpaMobPrefab (17)-AttackHitbox:20;C1TonpaMobPrefab (18)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_5","",41.62,28,0,245.00,8.65,28.3240,10,0,66.00,7.55,8.7417,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,5,2,4,1,0,"C1EliteTonpaMob-Rush Attack:10;C1EliteTonpaMob-Attack:10;C1TonpaMobPrefab (20)-AttackHitbox:10"
"C1_Stage2_6","",52.48,69,0,886.00,20.70,42.8015,5,0,33.00,2.90,11.3787,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,15,4,1,4,0,"C1PistolMob-AttackHitbox:20;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",52.96,9,0,72.00,6.32,11.3971,12,0,36.00,7.82,4.6056,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,13,1,3,3,0,""
"C1_Stage3_1","",27.65,14,0,150.00,4.92,30.5080,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,6,3,10,2,0,"FallDamageArea-:20;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",38.37,30,0,420.00,11.35,37.0041,12,0,36.00,5.57,6.4668,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",40.00,13,5,3,1,0,"C1PistolMob (2)-AttackHitbox:20;C1EliteTonpaMob-Rush Attack:20"
"C1_Stage3_3","",33.70,41,0,474.00,14.13,33.5361,6,0,33.00,3.30,9.9999,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,13,5,0,2,0,"C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage3_4","",73.95,0,0,0.00,0.45,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,1,0,1,0,0,""
"C1_Stage3_5","",67.80,76,0,733.00,23.47,31.2356,31,0,182.50,15.18,12.0198,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff}",60.00,24,11,0,4,0,"C1EliteTonpaMob-Rush Attack:10;C1GunnerMobPrefab-RangedAttackHitbox:20;C1PistolMob (5)-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1TonpaMobPrefab (7)-AttackHitbox:10"
