SerialNumber,9e565ad005d25db04679687c3336fd5ca0fdfb27
TotalPlayTime,2779.71
TotalDeathCount,11
TotalKilledEnemies,288
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",60.92,52,0,540.00,16.90,31.9522,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,9,2,7,1,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:30;C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab-Hitboxes:10"
"C1_Stage2_2","",9.42,11,0,160.00,4.40,36.3634,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,5,2,2,1,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_3","",71.88,87,0,1157.00,30.80,37.5652,2,0,3.00,1.20,2.5000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",80.00,30,9,10,6,1,"C1PistolMobForDashTutorial-AttackHitbox:30;C1PistolMob (1)-AttackHitbox:20;C1TonpaMobPrefab (8)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:20"
"C1_Stage2_4","",88.82,98,0,1470.00,34.25,42.9196,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",110.00,30,9,13,5,1,"C1PistolMob-AttackHitbox:40;C1GunnerMobPrefab-RangedAttackHitbox:20;C1TonpaMobPrefab (16)-AttackHitbox:10;C1TonpaMobPrefab (15)-AttackHitbox:10;C1TonpaMobPrefab (13)-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:20"
"C1_Stage2_5","",35.62,28,0,292.00,11.05,26.4248,4,0,18.00,2.18,8.2444,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,12,2,6,1,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",56.32,59,0,933.00,21.70,42.9957,2,0,3.00,1.58,1.8948,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,20,3,1,2,0,"C1PistolMob-AttackHitbox:20;C1GunnerMobPrefab (3)-RangedAttackHitbox:10"
"C1_Stage2_7","",47.08,9,0,100.00,5.08,19.6729,5,0,6.00,2.93,2.0454,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,5,0,0,0,0,"C1SandMecha-MeleeHitbox:20"
"C1_Stage3_1","",20.63,15,0,150.00,6.18,24.2582,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,5,0,2,0,0,"C1PistolMob (1)-AttackHitbox:20"
"C1_Stage3_2","",57.02,53,0,680.00,19.60,34.6933,2,0,3.00,1.27,2.3685,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",70.00,18,3,6,3,1,"C1PistolMob (2)-AttackHitbox:30;C1GunnerMobPrefab-RangedAttackHitbox:10;FallDamageArea (1)-:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage3_3","",33.62,43,0,481.00,15.15,31.7481,2,0,3.00,1.82,1.6513,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,13,4,1,1,0,"C1PistolMob-AttackHitbox:30"
