SerialNumber,291a4e2cf1841b295307932cf397b3ae3640be21
TotalPlayTime,1590.73
TotalDeathCount,7
TotalKilledEnemies,180
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",75.48,42,0,440.00,13.18,33.3756,8,0,90.00,4.77,18.8807,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,14,12,10,6,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_2","",40.14,7,0,60.00,5.37,11.1801,5,0,105.00,2.12,49.6070,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,11,10,10,0,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_3","",75.13,44,0,553.00,16.05,34.4550,11,0,123.00,8.00,15.3748,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff}",70.00,16,14,19,5,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab (5)-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:20;FallDamageArea (1)-:30"
"C1_Stage2_4","",242.41,184,0,2655.00,68.52,38.7494,12,0,255.00,8.58,29.7086,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff}",300.00,78,49,55,10,3,"FallDamageArea (1)-:10;C1PistolMob-AttackHitbox:50;C1GunnerMobPrefab (1)-RangedAttackHitbox:20;FallDamageArea (2)-:10;C1TonpaMobPrefab (16)-AttackHitbox:20;C1TonpaMobPrefab (14)-AttackHitbox:20;C1PistolMob (2)-AttackHitbox:60;C1TonpaMobPrefab (15)-AttackHitbox:10;C1TonpaMobPrefab (12)-AttackHitbox:10;FallDamageArea (3)-:20;C1TonpaMobPrefab (18)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10;FallDamageArea (4)-:10"
"C1_Stage2_5","",39.38,28,0,233.00,10.75,21.6742,8,0,93.00,3.42,27.2198,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",30.00,10,3,7,1,0,"C1EliteTonpaMob-Rush Attack:10;C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (19)-AttackHitbox:10"
"C1_Stage2_6","",105.59,89,0,1030.00,28.55,36.0762,27,0,663.00,12.50,53.0405,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff}",140.00,21,13,9,5,1,"C1TonpaMobPrefab (1)-AttackHitbox:20;C1PistolMob-AttackHitbox:40;C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab (3)-RangedAttackHitbox:10;C1TonpaMobPrefab (5)-AttackHitbox:20;C1TonpaMobPrefab (7)-AttackHitbox:20;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_7","",66.52,19,0,107.00,8.52,12.5633,11,0,7.50,7.45,1.0067,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",40.00,9,1,9,0,0,"C1SandMecha-MeleeHitbox:30;C1SandMecha (1)-MeleeHitbox:10"
"C1_Stage3_1","",44.79,14,0,150.00,7.10,21.1261,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,8,4,12,1,0,"FallDamageArea-:20;C1TonpaMobPrefab-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:20"
"C1_Stage3_2","",71.63,60,0,778.00,22.07,35.2572,13,0,141.00,5.70,24.7365,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",110.00,13,0,20,1,1,"C1TonpaMobPrefab (4)-AttackHitbox:20;C1PistolMob (2)-AttackHitbox:30;C1TonpaMobPrefab (3)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:20;C1EliteTonpaMob-Attack:20;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10"
"C1_Stage3_3","",57.21,52,0,772.00,23.78,32.4602,3,0,18.00,2.00,9.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",70.00,16,0,18,0,1,"C1GunnerMobPrefab (1)-RangedAttackHitbox:20;C1TonpaMobPrefab (1)-AttackHitbox:20;C1TonpaMobPrefab (3)-AttackHitbox:10;C1PistolMob-AttackHitbox:10;C1EliteTonpaMob (1)-Attack:10"
"C1_Stage3_4","",96.17,0,0,0.00,1.80,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,4,0,3,0,1,""
