SerialNumber,5c92ccd5b3328edacd2ce3689eea0749485c9d2a
TotalPlayTime,5766.91
TotalDeathCount,10
TotalKilledEnemies,292
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",68.30,52,0,550.00,15.58,35.2942,11,0,0.00,10.65,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,15,4,10,2,0,"C1PistolMobForDashTutorial-AttackHitbox:20;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_2","",6.78,0,0,0.00,1.80,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,4,0,4,0,0,""
"C1_Stage2_3","",20.35,4,0,70.00,4.57,15.3285,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,7,0,12,0,0,""
"C1_Stage2_4","",3609.05,94,0,1000.00,35.10,28.4907,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,33,6,20,5,1,"C1PistolMob-AttackHitbox:30;C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:20"
"C1_Stage2_5","",19.10,4,0,50.00,1.97,25.4347,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,3,1,4,0,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",43.12,39,0,925.00,11.53,80.2032,5,0,33.00,1.77,18.6799,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,9,4,0,3,0,"C1PistolMob-AttackHitbox:20"
"C1_Stage2_7","",43.78,9,0,100.00,5.35,18.6878,9,0,6.00,4.92,1.2201,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,10,1,11,1,0,"C1SandMecha-MeleeHitbox:10"
"C1_Stage3_1","",20.62,22,0,160.00,7.78,20.5571,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,6,0,3,2,0,"C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",33.38,31,0,400.00,8.45,47.3389,8,0,63.00,5.25,11.9989,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,9,5,4,4,0,"C1PistolMob (2)-AttackHitbox:10"
"C1_Stage3_3","",31.33,49,0,490.00,13.67,35.8528,5,0,18.00,2.73,6.5864,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,13,5,0,4,0,"C1PistolMob-AttackHitbox:10"
