SerialNumber,ac8f3953385cad69402aef349bd81e289cb56535
TotalPlayTime,5780.93
TotalDeathCount,20
TotalKilledEnemies,354
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",97.35,38,0,300.00,12.52,23.9683,18,0,270.00,18.08,14.9310,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",50.00,12,7,0,3,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:30;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_2","",20.45,10,0,150.00,4.93,30.4049,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,5,1,3,0,0,"FallDamageArea-:20;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_3","",85.67,63,0,563.00,20.95,26.8735,20,0,108.00,16.73,6.4542,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",80.00,31,20,5,5,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab (6)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:30;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_4","",265.88,192,0,2805.00,66.62,42.1073,36,0,585.00,24.58,23.7967,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Staff};{order:6,from:Staff,to:Shotgun}",300.00,80,39,23,17,4,"C1TonpaMobPrefab (12)-AttackHitbox:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:50;C1PistolMob-AttackHitbox:70;C1GunnerMobPrefab-RangedAttackHitbox:50;C1PistolMob (2)-AttackHitbox:40;C1TonpaMobPrefab (18)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:20;C1TonpaMobPrefab (2)-AttackHitbox:20;FallDamageArea (3)-:20"
"C1_Stage2_5","",64.38,10,0,95.00,4.35,21.8398,25,0,252.00,20.25,12.4444,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff}",20.00,10,3,3,2,0,"C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (19)-AttackHitbox:10"
"C1_Stage2_6","",112.72,67,0,666.00,21.72,30.6679,32,0,276.00,25.70,10.7392,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun}",40.00,22,5,0,7,0,"C1GunnerMobPrefab (3)-RangedAttackHitbox:10;C1TonpaMobPrefab (7)-AttackHitbox:10;C1PistolMob-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_7","",73.45,3,0,30.00,0.85,35.2901,26,0,91.50,19.58,4.6723,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff}",20.00,7,0,2,0,0,"C1SandMecha-MeleeHitbox:10;C1SandMecha (2)-MeleeHitbox:10"
"C1_Stage3_1","",60.57,8,0,60.00,1.97,30.5084,13,0,240.00,10.00,24.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun}",60.00,13,4,4,2,1,"FallDamageArea-:10;C1TonpaMobPrefab-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:40"
"C1_Stage3_2","",71.53,17,0,83.00,6.43,12.9015,30,0,411.00,20.27,20.2794,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun}",40.00,11,3,3,2,0,"C1PistolMob (2)-AttackHitbox:20;FallDamageArea (1)-:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_3","",128.73,15,0,86.00,5.18,16.5908,26,0,456.00,19.95,22.8575,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff}",40.00,16,6,0,5,0,"C1PistolMob-AttackHitbox:20;C1EliteTonpaMob (1)-Rush Attack:10;C1TonpaMobPrefab (1)-AttackHitbox:10"
