SerialNumber,3bbafa6d839b16fdd4e4fcd837272dc4d7345135
TotalPlayTime,3523.52
TotalDeathCount,4
TotalKilledEnemies,264
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",132.23,63,0,640.00,24.53,26.0868,20,0,180.00,17.17,10.4854,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff}",70.00,31,18,17,2,1,"C1PistolMobForDashTutorial-AttackHitbox:60;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_2","",15.92,13,0,160.00,5.22,30.6716,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,4,2,4,0,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_3","",160.08,137,0,1366.00,48.20,28.3400,19,0,111.00,14.65,7.5767,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",200.00,38,22,23,4,2,"C1PistolMobForDashTutorial-AttackHitbox:60;C1PistolMob (1)-AttackHitbox:40;C1EliteTonpaMob-Rush Attack:60;C1TonpaMobPrefab (10)-AttackHitbox:10;C1TonpaMobPrefab (9)-AttackHitbox:10;C1TonpaMobPrefab (8)-AttackHitbox:10;C1TonpaMobPrefab (6)-AttackHitbox:10"
"C1_Stage2_4","",78.65,91,0,1030.00,32.12,32.0697,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,30,16,9,4,0,"C1PistolMob-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:20;FallDamageArea (3)-:10"
"C1_Stage2_5","",49.45,53,0,283.00,15.87,17.8362,9,0,48.00,6.80,7.0589,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,9,6,2,2,0,"C1EliteTonpaMob-Rush Attack:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",935.28,128,0,1533.00,51.27,29.9020,41,0,298.00,32.52,9.1645,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff};{order:14,from:Staff,to:Shotgun};{order:15,from:Shotgun,to:Staff}",130.00,61,41,4,5,1,"C1PistolMob-AttackHitbox:40;C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (7)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:30;C1TonpaMobPrefab (1)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:10"
"C1_Stage2_7","",51.73,11,0,100.00,4.93,20.2712,7,0,6.00,3.05,1.9672,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,5,1,2,0,0,"C1SandMecha-MeleeHitbox:10"
"C1_Stage3_1","",32.40,16,0,150.00,5.40,27.7758,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,7,4,3,1,0,"FallDamageArea-:10;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",48.85,46,0,433.00,15.90,27.2333,4,0,33.00,2.05,16.0972,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",60.00,13,11,6,2,0,"C1PistolMob (2)-AttackHitbox:10;FallDamageArea (1)-:20;C1EliteTonpaMob-Rush Attack:20;C1EliteTonpaMob-Attack:10"
"C1_Stage3_3","",34.23,47,0,500.00,14.43,34.6420,4,0,3.00,1.37,2.1947,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,9,6,2,2,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1PistolMob-AttackHitbox:10;C1EliteTonpaMob (1)-Rush Attack:10"
