SerialNumber,c4ef62cfbccda90cd8bdbb9ba890e2f2fa0d4ec8
TotalPlayTime,3130.35
TotalDeathCount,8
TotalKilledEnemies,299
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",77.12,41,0,540.00,23.28,23.1925,1,0,30.00,0.73,40.9089,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",50.00,32,10,4,1,0,"C1PistolMobForDashTutorial-AttackHitbox:30;C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_2","",14.83,8,0,160.00,3.70,43.2431,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,4,1,2,0,0,"FallDamageArea-:10"
"C1_Stage2_3","",63.56,46,0,558.00,16.48,33.8525,11,0,108.00,8.87,12.1804,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,29,13,9,5,1,"C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_4","",120.48,113,0,1810.00,41.97,43.1299,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",80.00,49,19,16,7,1,"C1GunnerMobPrefab-RangedAttackHitbox:30;C1TonpaMobPrefab (1)-AttackHitbox:10;C1PistolMob-AttackHitbox:20;C1PistolMob (2)-AttackHitbox:20"
"C1_Stage2_5","",56.68,25,0,250.00,11.65,21.4592,13,0,66.00,9.12,7.2397,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",40.00,19,3,8,1,0,"FallDamageArea (4)-:10;C1EliteTonpaMob-Rush Attack:10;C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (20)-AttackHitbox:10"
"C1_Stage2_6","",72.80,65,0,854.00,25.40,33.6217,9,0,78.00,6.47,12.0618,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,34,9,4,4,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_7","",102.33,17,0,200.00,9.92,20.1687,14,0,12.00,11.52,1.0420,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Staff}",60.00,20,2,3,0,1,"C1SandMecha-MeleeHitbox:10;C1SandMecha (3)-LandingImpactHitbox:50"
"C1_Stage3_1","",21.91,12,0,150.00,5.87,25.5675,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,7,1,4,0,0,"C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",53.91,35,0,442.00,14.35,30.8020,6,0,33.00,3.55,9.2960,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",40.00,17,7,4,3,0,"FallDamageArea (1)-:20;C1TonpaMobPrefab (3)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_3","",36.63,39,0,452.00,12.35,36.5993,9,0,36.00,4.37,8.2442,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",0.00,17,8,1,4,0,""
