SerialNumber,89ff233d5f74e3a6e4b5976153aae16fd7629f1a
TotalPlayTime,1972.58
TotalDeathCount,16
TotalKilledEnemies,231
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",570.30,123,0,1490.00,45.80,32.5319,13,0,105.00,6.40,16.4053,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff}",190.00,48,12,10,8,4,"C1PistolMobForDashTutorial-AttackHitbox:90;C1TonpaMobPrefab (3)-AttackHitbox:30;C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:30;C1TonpaMobPrefab (4)-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_2","",15.83,12,0,150.00,4.13,36.2906,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,4,0,2,1,0,"C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_3","",65.32,67,0,857.00,19.52,43.9113,7,0,63.00,4.37,14.4258,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",50.00,15,8,7,5,1,"C1PistolMobForDashTutorial-AttackHitbox:20;C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab (6)-AttackHitbox:10"
"C1_Stage2_4","",331.48,420,0,4975.00,132.38,37.5808,7,0,120.00,2.75,43.6441,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Staff};{order:3,from:Staff,to:Staff};{order:4,from:Staff,to:Staff};{order:5,from:Staff,to:Staff};{order:6,from:Staff,to:Staff};{order:7,from:Staff,to:Staff};{order:8,from:Staff,to:Staff}",300.00,140,78,36,26,7,"C1PistolMob-AttackHitbox:130;C1TonpaMobPrefab (12)-AttackHitbox:20;C1PistolMob (2)-AttackHitbox:90;C1TonpaMobPrefab (14)-AttackHitbox:10;C1TonpaMobPrefab (18)-AttackHitbox:10;C1TonpaMobPrefab (11)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;FallDamageArea (3)-:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_5","",34.18,32,0,291.00,9.50,30.6347,5,0,33.00,1.62,20.4120,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",0.00,7,1,2,2,0,""
"C1_Stage2_6","",51.00,66,0,851.00,17.46,48.7265,5,0,78.00,1.45,53.7859,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,16,5,0,6,0,"C1PistolMob-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_7","",90.91,19,0,133.00,8.85,15.0256,22,0,72.00,12.38,5.8141,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",60.00,15,4,3,3,1,"C1SandMecha (6)-LandingImpactHitbox:50;C1SandMecha-MeleeHitbox:10"
"C1_Stage3_1","",20.30,15,0,160.00,5.12,31.2672,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,5,1,3,1,0,"C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",88.13,50,0,585.00,17.16,34.0848,45,0,437.50,19.19,22.8036,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun}",100.00,31,10,7,4,2,"C1PistolMob (2)-AttackHitbox:50;FallDamageArea (1)-:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:20;C1EliteTonpaMob-Rush Attack:10;C1EliteTonpaMob-Attack:10"
"C1_Stage3_3","",34.43,62,0,443.00,16.90,26.2109,5,0,33.00,2.15,15.3391,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff}",10.00,11,3,0,3,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage3_4","",53.03,1,0,0.00,0.82,0.0000,3,0,0.00,3.12,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,2,1,0,0,0,""
"C1_Stage3_5","",59.58,15,0,131.00,6.63,19.7474,8,0,36.00,4.15,8.6718,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",40.00,7,1,0,0,1,"C1SandMecha-MeleeHitbox:20;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10;C1EliteTonpaMob-Rush Attack:10"
