SerialNumber,bb64b49c0a1612aad2f1ea2e843a748f3402dd9e
TotalPlayTime,1233.87
TotalDeathCount,5
TotalKilledEnemies,137
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",123.53,57,0,580.00,23.92,24.2503,62,0,650.00,21.20,30.6597,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",90.00,28,7,21,5,2,"C1PistolMobForDashTutorial-AttackHitbox:50;C1TonpaMobPrefab (3)-AttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_2","",11.53,8,0,150.00,3.43,43.6922,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,0,4,0,0,""
"C1_Stage2_3","",46.27,56,0,585.00,15.18,38.5284,10,0,66.00,7.53,8.7609,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",0.00,16,10,5,7,0,""
"C1_Stage2_4","",59.62,95,0,1050.00,24.42,43.0033,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,18,10,9,12,0,"C1TonpaMobPrefab (12)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_5","",29.75,26,0,280.00,6.37,43.9805,5,0,33.00,1.85,17.8393,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",0.00,5,4,2,3,0,""
"C1_Stage2_6","",53.35,60,0,826.00,18.12,45.5939,9,0,153.00,5.83,26.2300,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",10.00,22,7,0,7,0,"C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",159.31,24,0,251.00,7.17,35.0217,44,0,85.50,27.90,3.0644,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun}",90.00,15,7,30,6,2,"C1SandMecha-MeleeHitbox:30;C1SandMecha (1)-MeleeHitbox:20;C1SandMecha (4)-MeleeHitbox:10;C1SandMecha-DashAttackHitbox:10;C1SandMecha (7)-MeleeHitbox:10;C1SandMecha (6)-MeleeHitbox:10"
"C1_Stage3_1","",28.18,17,0,170.00,7.13,23.8335,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,7,2,11,2,0,"FallDamageArea-:20"
"C1_Stage3_2","",31.27,39,0,441.00,12.68,34.7707,3,0,48.00,1.95,24.6129,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,14,4,2,3,0,""
"C1_Stage3_3","",32.98,41,0,432.00,12.60,34.2861,8,0,51.00,5.48,9.3012,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",0.00,12,4,1,3,0,""
"C1_Stage3_4","",57.20,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,7,0,0,""
"C1_Stage3_5","",63.07,58,0,634.00,18.08,35.0596,23,0,196.50,10.48,18.7435,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Shotgun}",50.00,22,4,4,4,1,"C1SandMecha-MeleeHitbox:20;C1EliteTonpaMob-Attack:10;C1EliteTonpaMob-Rush Attack:20"
