SerialNumber,b6d82a8b456c860469a764849e6c1f3f447f06b7
TotalPlayTime,5713.45
TotalDeathCount,1
TotalKilledEnemies,176
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",77.63,50,0,550.00,16.52,33.2998,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,16,5,0,5,0,"C1PistolMobForDashTutorial-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_2","",23.47,13,0,150.00,4.57,32.8477,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,2,1,3,0,0,"FallDamageArea-:20;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_3","",77.70,33,0,400.00,10.27,38.9608,41,0,270.00,31.10,8.6817,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",80.00,25,13,5,7,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab (10)-AttackHitbox:10;C1EliteTonpaMob-Attack:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_4","",122.90,162,0,2010.00,45.28,44.3877,2,0,30.00,1.60,18.7503,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Staff}",160.00,36,14,13,10,1,"C1PistolMob-AttackHitbox:60;C1TonpaMobPrefab (12)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:20;C1TonpaMobPrefab (16)-AttackHitbox:10;FallDamageArea (3)-:10;C1TonpaMobPrefab (17)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1PistolMob (2)-AttackHitbox:10;C1TonpaMobPrefab (18)-AttackHitbox:10"
"C1_Stage2_5","",43.50,32,0,287.00,8.53,33.6319,11,0,37.00,7.90,4.6836,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",30.00,6,4,3,3,0,"C1EliteTonpaMob-Attack:10;C1PistolMob-AttackHitbox:20"
"C1_Stage2_6","",60.28,82,0,911.00,24.10,37.8011,6,0,19.50,3.45,5.6525,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,22,9,0,8,0,"C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_7","",48.14,9,0,100.00,3.05,32.7877,6,0,6.00,3.87,1.5517,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,2,1,0,0,0,"C1SandMecha-MeleeHitbox:10"
"C1_Stage3_1","",35.62,14,0,150.00,6.15,24.3902,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,6,2,4,0,0,"FallDamageArea-:20;C1PistolMob (1)-AttackHitbox:20"
"C1_Stage3_2","",52.58,39,0,435.00,13.13,33.1219,4,0,18.00,2.03,8.8530,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,15,11,6,5,0,"C1PistolMob (2)-AttackHitbox:30;FallDamageArea (1)-:10"
"C1_Stage3_3","",32.98,44,0,443.00,12.48,35.4868,5,0,33.00,2.00,16.5000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,11,6,0,2,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:20;C1EliteTonpaMob (1)-Attack:10"
