SerialNumber,a99dc930be3455ca12e6bc06f1d95e967cb67abb
TotalPlayTime,1691.45
TotalDeathCount,1
TotalKilledEnemies,150
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",100.10,48,0,540.00,21.22,25.4519,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,18,6,1,1,0,"C1PistolMobForDashTutorial-AttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_2","",9.53,13,0,160.00,3.22,49.7408,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,2,1,2,2,0,"C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_3","",54.10,68,0,644.00,20.83,30.9123,9,0,36.00,5.80,6.2070,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",40.00,19,9,8,8,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10;C1EliteTonpaMob-Attack:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_4","",78.08,96,0,1430.00,27.90,51.2544,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",110.00,19,8,15,6,1,"C1PistolMob-AttackHitbox:40;C1GunnerMobPrefab-RangedAttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1PistolMob (2)-AttackHitbox:30;C1TonpaMobPrefab (13)-AttackHitbox:10;C1TonpaMobPrefab (14)-AttackHitbox:10"
"C1_Stage2_5","",165.53,35,0,298.00,10.28,28.9796,4,0,18.00,2.38,7.5522,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,9,6,8,3,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",53.05,64,0,913.00,21.07,43.3384,3,0,3.00,1.63,1.8368,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,18,5,4,5,0,"C1PistolMob-AttackHitbox:30"
"C1_Stage2_7","",114.69,44,0,521.00,12.67,41.1333,47,0,321.00,29.28,10.9620,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff}",100.00,33,0,12,10,0,"C1SandMecha (1)-MeleeHitbox:40;C1SandMecha (7)-MeleeHitbox:30;C1SandMecha (2)-MeleeHitbox:20;C1SandMecha (6)-MeleeHitbox:10"
"C1_Stage3_1","",69.70,14,0,150.00,5.47,27.4396,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,6,1,5,2,0,"FallDamageArea-:30;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",43.30,35,0,432.00,12.40,34.8383,4,0,33.00,1.87,17.6794,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,10,1,4,3,0,"C1PistolMob (2)-AttackHitbox:10;FallDamageArea (1)-:20;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_3","",31.85,43,0,430.00,13.87,31.0101,6,0,58.00,2.43,23.8355,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,12,4,7,3,0,"C1PistolMob-AttackHitbox:30;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage3_4","",113.15,1,0,0.00,0.92,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,1,0,0,0,0,""
"C1_Stage3_5","",66.57,73,0,631.00,22.78,27.6954,30,0,315.00,12.95,24.3249,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff}",60.00,17,2,3,5,0,"C1SandMecha-MeleeHitbox:20;C1EliteTonpaMob-Rush Attack:20;C1EliteTonpaMob-Attack:10;C1PistolMob (5)-AttackHitbox:10"
"C1_Stage3_6","",46.80,22,0,219.00,9.23,23.7182,10,0,132.00,5.17,25.5492,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",30.00,7,0,10,0,0,"C1EliteTonpaMob (1)-Rush Attack:10;C1EliteTonpaMob-Attack:10;C1EliteTonpaMob-Rush Attack:10"
