SerialNumber,a99dc930be3455ca12e6bc06f1d95e967cb67abb
TotalPlayTime,2356.07
TotalDeathCount,6
TotalKilledEnemies,244
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",47.62,40,0,530.00,10.02,52.9115,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,7,2,13,3,0,"C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_2","",10.07,13,0,150.00,4.45,33.7078,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,3,0,0,0,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_3","",69.32,81,0,934.00,26.83,34.8073,5,0,33.00,3.05,10.8197,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",90.00,22,6,13,5,1,"C1PistolMobForDashTutorial-AttackHitbox:20;C1TonpaMobPrefab (5)-AttackHitbox:10;FallDamageArea-:20;C1TonpaMobPrefab (7)-AttackHitbox:10;C1TonpaMobPrefab (6)-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_4","",56.77,74,0,1060.00,20.93,50.6366,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,16,5,29,5,0,"C1PistolMob-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab (15)-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10"
"C1_Stage2_5","",31.92,41,0,316.00,11.70,27.0087,5,0,3.00,1.78,1.6822,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,8,4,8,4,0,"C1EliteTonpaMob-Rush Attack:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",57.27,75,0,884.00,21.73,40.6752,6,0,59.00,1.88,31.3280,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,18,8,12,5,0,"C1PistolMob-AttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_7","",143.42,38,0,181.00,13.80,13.1160,19,0,31.50,8.60,3.6628,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff}",160.00,13,0,36,1,3,"C1SandMecha-LandingImpactHitbox:50;C1SandMecha-MeleeHitbox:60;C1SandMecha (1)-LandingImpactHitbox:50"
"C1_Stage3_1","",28.30,10,0,150.00,5.85,25.6417,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,7,0,6,1,0,"FallDamageArea-:20;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",30.27,35,0,434.00,10.82,40.1238,5,0,33.00,1.70,19.4109,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,10,1,8,4,0,""
"C1_Stage3_3","",33.90,47,0,450.00,14.32,31.4319,9,0,63.00,4.37,14.4278,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",10.00,11,1,5,2,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage3_4","",74.92,5,0,0.00,2.73,0.0000,4,0,0.00,2.33,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,2,0,5,0,0,""
"C1_Stage3_5","",50.70,61,0,665.00,15.93,41.7357,23,0,315.00,9.87,31.9240,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff}",0.00,14,1,4,6,0,""
"C1_Stage3_6","",82.18,31,0,270.00,14.38,18.7716,12,0,282.00,4.82,58.5469,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun}",20.00,16,0,21,2,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage3_7","",191.01,50,0,0.00,17.48,0.0000,25,0,0.00,11.67,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff};{order:14,from:Staff,to:Shotgun}",100.00,27,12,0,3,0,"C1MidBoss-TangTang 1:30;C1MidBoss-TangTang 2:30;C1MidBoss-KickKick 1:10;C1MidBoss-KickKick 2:30"
"C1_Boss_1","",49.22,6,0,60.00,2.30,26.0878,4,0,60.00,1.50,40.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,2,0,6,1,0,""
"C1_Boss_2","",79.12,89,0,832.00,26.92,30.9104,35,0,523.00,14.70,35.5775,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff}",50.00,25,0,6,6,0,"C1TonpaMobPrefab (6)-AttackHitbox:10;C1GunnerMobPrefab (3)-RangedAttackHitbox:10;C1GunnerMobPrefab (8)-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Boss_3","",52.02,53,0,657.00,14.25,46.1061,27,0,264.00,11.83,22.3098,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff}",60.00,16,1,1,5,0,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1SandMecha-MeleeHitbox:10;C1EliteTonpaMob-Rush Attack:10;C1TonpaMobPrefab (10)-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:10"
