SerialNumber,bc1bffd582e711153a216374894bbd4b7e3a2c99
TotalPlayTime,2205.20
TotalDeathCount,2
TotalKilledEnemies,144
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",65.30,39,0,350.00,13.12,26.6835,13,0,225.00,6.45,34.8837,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",50.00,16,4,0,3,0,"C1PistolMobForDashTutorial-AttackHitbox:50"
"C1_Stage2_2","",16.82,8,0,80.00,2.42,33.1032,5,0,75.00,2.78,26.9462,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",0.00,5,0,2,0,0,""
"C1_Stage2_3","",61.33,65,0,480.00,19.30,24.8706,21,0,201.00,9.93,20.2347,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun}",50.00,22,4,5,6,0,"C1PistolMobForDashTutorial-AttackHitbox:20;C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab (8)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_4","",77.35,67,0,760.00,21.55,35.2666,14,0,315.00,7.33,42.9554,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff}",80.00,20,5,9,5,0,"C1PistolMob-AttackHitbox:40;C1PistolMob (2)-AttackHitbox:20;FallDamageArea (3)-:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_5","",41.92,33,0,300.00,8.98,33.3952,5,0,18.00,2.07,8.7095,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",10.00,7,1,2,3,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",70.73,53,0,408.00,16.73,24.3823,28,0,588.00,12.82,45.8776,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff};{order:14,from:Staff,to:Shotgun};{order:15,from:Shotgun,to:Staff};{order:16,from:Staff,to:Shotgun}",50.00,22,6,0,6,0,"C1PistolMob-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:20"
"C1_Stage2_7","",49.54,8,0,100.00,3.00,33.3347,6,0,6.00,4.10,1.4635,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",0.00,6,0,1,0,0,""
"C1_Stage3_1","",47.28,6,0,50.00,3.22,15.5440,7,0,120.00,3.38,35.4670,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",50.00,6,0,6,0,0,"FallDamageArea-:20;C1PistolMob (1)-AttackHitbox:30"
"C1_Stage3_2","",66.08,39,0,300.00,13.78,21.7649,21,0,166.00,12.23,13.5696,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun}",30.00,28,2,4,4,0,"C1PistolMob (2)-AttackHitbox:20;FallDamageArea (1)-:10"
"C1_Stage3_3","",72.02,45,0,557.00,15.15,36.7659,21,0,183.00,14.22,12.8721,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff}",60.00,21,5,6,4,1,"C1PistolMob-AttackHitbox:50;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
