SerialNumber,c0bf17895f84d311ef76f344e897e18573b9e0d7
TotalPlayTime,2436.02
TotalDeathCount,13
TotalKilledEnemies,178
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",119.05,32,0,260.00,9.88,26.3064,41,0,345.00,34.65,9.9569,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",80.00,28,17,4,4,0,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:60;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_2","",22.07,7,0,150.00,3.38,44.3354,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",10.00,4,2,2,0,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_3","",648.17,264,0,1785.00,127.63,13.9855,131,0,1011.00,106.67,9.4781,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Staff};{order:10,from:Staff,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff};{order:15,from:Staff,to:Shotgun};{order:16,from:Shotgun,to:Staff};{order:17,from:Staff,to:Shotgun};{order:18,from:Shotgun,to:Staff};{order:19,from:Staff,to:Shotgun};{order:20,from:Shotgun,to:Staff};{order:21,from:Staff,to:Shotgun};{order:22,from:Shotgun,to:Staff};{order:23,from:Staff,to:Shotgun}",660.00,150,98,33,60,8,"C1PistolMobForDashTutorial-AttackHitbox:350;C1PistolMob (1)-AttackHitbox:90;C1TonpaMobPrefab (7)-AttackHitbox:30;C1TonpaMobPrefab (4)-AttackHitbox:20;FallDamageArea-:90;C1TonpaMobPrefab (10)-AttackHitbox:10;C1EliteTonpaMob-Attack:20;C1EliteTonpaMob-Rush Attack:20;FallDamageArea (1)-:10;C1TonpaMobPrefab (5)-AttackHitbox:10;C1TonpaMobPrefab (6)-AttackHitbox:10"
"C1_Stage2_4","",85.82,90,0,1040.00,24.05,43.2440,8,0,120.00,4.38,27.3751,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",100.00,25,18,9,6,1,"C1PistolMob-AttackHitbox:40;C1GunnerMobPrefab-RangedAttackHitbox:30;C1PistolMob (2)-AttackHitbox:20;C1TonpaMobPrefab (18)-AttackHitbox:10"
"C1_Stage2_5","",94.95,8,0,80.00,2.53,31.5806,65,0,500.00,44.83,11.1525,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun}",60.00,16,8,8,4,1,"C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1PistolMob-AttackHitbox:30;C1TonpaMobPrefab (20)-AttackHitbox:10;C1EliteTonpaMob-Attack:10"
"C1_Stage2_6","",111.24,38,0,394.00,9.25,42.5946,65,0,603.00,46.33,13.0142,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun}",80.00,28,18,0,15,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab (3)-RangedAttackHitbox:10;C1TonpaMobPrefab (5)-AttackHitbox:30;C1TonpaMobPrefab (4)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",57.44,9,0,101.00,3.53,28.5820,6,0,6.00,3.37,1.7823,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun}",10.00,3,0,0,1,0,"C1SandMecha-MeleeHitbox:10"
"C1_Stage3_1","",34.60,12,0,150.00,5.93,25.2808,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,8,3,6,1,0,"C1PistolMob (1)-AttackHitbox:20"
"C1_Stage3_2","",95.19,31,0,290.00,10.02,28.9491,26,0,183.00,23.98,7.6303,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",50.00,14,3,3,3,0,"C1PistolMob (2)-AttackHitbox:10;C1TonpaMobPrefab (5)-AttackHitbox:10;FallDamageArea (1)-:20;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_3","",35.67,48,0,460.00,13.78,33.3716,3,0,18.00,1.75,10.2857,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,9,3,1,1,0,"C1PistolMob-AttackHitbox:10"
