SerialNumber,c0bf17895f84d311ef76f344e897e18573b9e0d7
TotalPlayTime,3210.01
TotalDeathCount,11
TotalKilledEnemies,284
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",81.10,44,0,390.00,15.10,25.8277,22,0,180.00,18.95,9.4987,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,17,12,0,6,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_2","",7.07,0,0,0.00,0.27,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,1,1,2,0,0,""
"C1_Stage2_3","",60.35,70,0,800.00,20.60,38.8349,4,0,33.00,1.17,28.2852,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",60.00,15,9,9,5,0,"FallDamageArea-:20;C1TonpaMobPrefab-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:20;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_4","",155.40,101,0,1210.00,27.87,43.4212,73,0,945.00,50.32,18.7809,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Staff}",180.00,59,46,13,18,1,"C1GunnerMobPrefab-RangedAttackHitbox:80;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1PistolMob-AttackHitbox:20;C1PistolMob (2)-AttackHitbox:40;C1TonpaMobPrefab (16)-AttackHitbox:10;C1TonpaMobPrefab (17)-AttackHitbox:10;C1TonpaMobPrefab (18)-AttackHitbox:10"
"C1_Stage2_5","",31.20,36,0,331.00,9.05,36.5744,5,0,3.00,1.92,1.5653,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,7,6,3,3,0,""
"C1_Stage2_6","",61.94,81,0,938.00,25.27,37.1241,9,0,18.00,6.25,2.8800,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",40.00,19,11,1,4,0,"C1PistolMob-AttackHitbox:20;C1TonpaMobPrefab (5)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_7","",525.13,57,0,976.00,17.72,55.0886,81,0,408.00,76.83,5.3102,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Shotgun};{order:13,from:Shotgun,to:Staff};{order:14,from:Staff,to:Shotgun};{order:15,from:Shotgun,to:Shotgun};{order:16,from:Shotgun,to:Staff};{order:17,from:Staff,to:Shotgun};{order:18,from:Shotgun,to:Staff};{order:19,from:Staff,to:Shotgun};{order:20,from:Shotgun,to:Staff};{order:21,from:Staff,to:Shotgun};{order:22,from:Shotgun,to:Staff};{order:23,from:Staff,to:Shotgun};{order:24,from:Shotgun,to:Staff}",460.00,103,11,4,29,5,"C1SandMecha-MeleeHitbox:190;C1SandMecha-DashAttackHitbox:50;C1SandMecha (2)-MeleeHitbox:30;C1SandMecha (1)-MeleeHitbox:30;C1SandMecha (5)-MeleeHitbox:40;C1SandMecha (4)-MeleeHitbox:20;C1SandMecha (3)-MeleeHitbox:20;C1SandMecha (6)-MeleeHitbox:10;C1SandMecha (5)-LandingImpactHitbox:50;C1SandMecha (5)-DashAttackHitbox:10;C1SandMecha (4)-DashAttackHitbox:10"
"C1_Stage3_1","",34.15,13,0,160.00,7.30,21.9180,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,8,0,7,0,0,"FallDamageArea-:20"
"C1_Stage3_2","",79.02,62,0,632.00,21.53,29.3502,10,0,36.00,6.55,5.4961,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",70.00,26,12,4,6,1,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:30;C1GunnerMobPrefab-RangedAttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;FallDamageArea (1)-:10"
"C1_Stage3_3","",31.65,38,0,500.00,10.48,47.6945,7,0,3.00,4.27,0.7031,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff}",10.00,10,2,2,3,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
