SerialNumber,99011d2900024422e03f9bbab2144b0e4e5ce889
TotalPlayTime,3634.59
TotalDeathCount,27
TotalKilledEnemies,472
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",60.28,53,0,550.00,15.37,35.7917,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,11,3,0,5,0,""
"C1_Stage2_2","",10.71,10,0,150.00,3.08,48.6471,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,2,0,2,0,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_3","",46.93,64,0,672.00,16.88,39.8025,6,0,3.00,3.42,0.8780,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,13,7,7,4,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab (9)-AttackHitbox:10"
"C1_Stage2_4","",526.04,429,0,6000.00,127.12,47.2005,71,0,1355.00,47.42,28.5763,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff}",510.00,130,55,53,45,12,"C1PistolMob-AttackHitbox:190;C1GunnerMobPrefab (1)-RangedAttackHitbox:40;FallDamageArea (3)-:10;C1TonpaMobPrefab (11)-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:130;C1GunnerMobPrefab-RangedAttackHitbox:50;C1TonpaMobPrefab (12)-AttackHitbox:30;C1TonpaMobPrefab (4)-AttackHitbox:10;FallDamageArea (1)-:10;C1TonpaMobPrefab (18)-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_5","",38.94,29,0,280.00,8.25,33.9394,5,0,33.00,2.43,13.5616,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,8,7,5,2,0,""
"C1_Stage2_6","",60.74,66,0,922.00,20.02,46.0612,5,0,48.00,1.78,26.9160,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,13,5,4,4,0,"C1PistolMob-AttackHitbox:20"
"C1_Stage2_7","",54.81,8,0,100.00,2.58,38.7109,4,0,6.00,2.38,2.5174,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,1,0,5,0,0,""
"C1_Stage3_1","",118.29,23,0,150.00,10.32,14.5394,2,0,0.00,1.32,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",80.00,7,1,17,1,2,"FallDamageArea-:80"
"C1_Stage3_2","",67.48,49,0,654.00,15.45,42.3309,7,0,6.00,3.80,1.5790,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",50.00,19,7,5,5,1,"C1PistolMob (2)-AttackHitbox:20;FallDamageArea (1)-:20;C1EliteTonpaMob-Attack:10"
"C1_Stage3_3","",40.18,45,0,470.00,14.10,33.3337,6,0,33.00,4.08,8.0813,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",10.00,10,2,3,3,0,"C1PistolMob-AttackHitbox:10"
