SerialNumber,a76d0cd5e5a19cfa3e48cf2dc355c5686032ff7b
TotalPlayTime,6797.94
TotalDeathCount,37
TotalKilledEnemies,469
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",219.98,70,0,820.00,23.22,35.3189,35,0,600.00,25.68,23.3614,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Staff}",210.00,23,10,10,7,3,"C1TonpaMobPrefab (2)-AttackHitbox:30;C1TonpaMobPrefab (4)-AttackHitbox:30;C1PistolMobForDashTutorial-AttackHitbox:80;C1TonpaMobPrefab-AttackHitbox:30;C1TonpaMobPrefab (1)-AttackHitbox:20;C1TonpaMobPrefab (3)-AttackHitbox:20"
"C1_Stage2_2","",13.68,14,0,160.00,3.42,46.8282,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,1,0,2,1,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_3","",130.95,46,0,559.00,16.48,33.9124,59,0,771.00,31.92,24.1570,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Shotgun,to:Staff}",200.00,23,1,13,1,2,"C1PistolMobForDashTutorial-AttackHitbox:50;C1PistolMob (1)-AttackHitbox:50;C1TonpaMobPrefab (6)-AttackHitbox:10;C1TonpaMobPrefab (10)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:30;C1TonpaMobPrefab (4)-AttackHitbox:20;C1EliteTonpaMob-Attack:10;C1EliteTonpaMob-Rush Attack:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_4","",702.60,20,0,410.00,6.65,61.6550,266,0,3950.00,77.13,51.2101,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",480.00,41,14,35,12,8,"C1PistolMob-AttackHitbox:190;C1TonpaMobPrefab (11)-AttackHitbox:30;C1TonpaMobPrefab (16)-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:100;C1TonpaMobPrefab (15)-AttackHitbox:20;C1TonpaMobPrefab (12)-AttackHitbox:20;C1TonpaMobPrefab (17)-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:50;C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_5","",55.48,63,0,285.00,16.87,16.8972,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,11,8,4,4,0,"C1EliteTonpaMob-Rush Attack:20;C1EliteTonpaMob-Attack:10;FallDamageArea (4)-:10"
"C1_Stage2_6","",133.47,101,0,874.00,32.87,26.5927,9,0,51.00,6.83,7.4635,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",90.00,25,7,1,4,0,"C1PistolMob-AttackHitbox:50;C1EliteTonpaMob-Rush Attack:20;C1EliteTonpaMob-Attack:10;C1EliteTonpaMob-Hitboxes:10"
"C1_Stage2_7","",192.60,71,0,71.00,23.83,2.9791,44,0,171.00,35.32,4.8419,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Shotgun}",190.00,12,0,19,2,2,"C1SandMecha-LandingImpactHitbox:50;C1SandMecha-MeleeHitbox:100;C1SandMecha (2)-MeleeHitbox:10;C1SandMecha (6)-MeleeHitbox:10;C1SandMecha (5)-MeleeHitbox:10;C1SandMecha (3)-MeleeHitbox:10"
"C1_Stage3_1","",172.68,0,0,0.00,0.00,NaN,23,0,195.00,16.17,12.0616,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",120.00,14,0,19,0,1,"FallDamageArea-:70;C1PistolMob (1)-AttackHitbox:40;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage3_2","",464.75,96,0,1273.00,32.42,39.2701,13,0,216.00,9.28,23.2678,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",280.00,20,4,15,3,6,"C1TonpaMobPrefab (4)-AttackHitbox:20;C1PistolMob (2)-AttackHitbox:200;C1GunnerMobPrefab-RangedAttackHitbox:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:20;C1TonpaMobPrefab (5)-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage3_3","",39.10,34,0,423.00,12.67,33.3952,7,0,51.00,4.42,11.5476,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,14,1,3,1,0,"C1PistolMob-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
