SerialNumber,5ce3a2d912549071dd2c03fe2638c0729a7271f0
TotalPlayTime,3979.56
TotalDeathCount,10
TotalKilledEnemies,254
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",115.98,64,0,490.00,22.22,22.0549,5,0,60.00,5.22,11.5019,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff}",60.00,7,1,0,1,0,"C1PistolMobForDashTutorial-AttackHitbox:40;C1TonpaMobPrefab (3)-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_2","",11.88,9,0,100.00,4.47,22.3862,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,5,1,2,1,0,""
"C1_Stage2_3","",43.60,40,0,511.00,15.55,32.8622,5,0,78.00,2.27,34.4128,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,12,3,9,3,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_4","",146.20,79,0,770.00,24.82,31.0273,58,0,855.00,20.38,41.9451,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff}",210.00,21,9,12,6,3,"C1PistolMob-AttackHitbox:70;C1TonpaMobPrefab (12)-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:20;C1TonpaMobPrefab (11)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:20;C1TonpaMobPrefab (16)-AttackHitbox:10;C1TonpaMobPrefab (15)-AttackHitbox:20;C1PistolMob (2)-AttackHitbox:30;C1TonpaMobPrefab (4)-AttackHitbox:10"
"C1_Stage2_5","",47.98,37,0,230.00,13.42,17.1428,5,0,33.00,2.37,13.9435,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",30.00,9,6,3,1,0,"C1EliteTonpaMob-Rush Attack:10;C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (19)-AttackHitbox:10"
"C1_Stage2_6","",144.32,119,0,1432.00,35.80,39.9989,5,0,33.00,2.13,15.4690,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",110.00,18,11,0,7,1,"C1PistolMob-AttackHitbox:40;C1TonpaMobPrefab-AttackHitbox:20;C1TonpaMobPrefab (3)-AttackHitbox:10;C1GunnerMobPrefab (3)-RangedAttackHitbox:10;C1TonpaMobPrefab (5)-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10;C1TonpaMobPrefab (7)-AttackHitbox:10"
"C1_Stage2_7","",43.47,10,0,100.00,3.97,25.2093,6,0,6.00,2.47,2.4323,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,2,0,0,0,0,"C1SandMecha-MeleeHitbox:10"
"C1_Stage3_1","",44.78,13,0,170.00,6.10,27.8684,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,6,1,6,0,0,"FallDamageArea-:40;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",71.93,48,0,562.00,13.57,41.4251,16,0,96.00,8.23,11.6609,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",90.00,12,4,3,3,1,"C1TonpaMobPrefab (4)-AttackHitbox:20;C1PistolMob (2)-AttackHitbox:30;C1GunnerMobPrefab-RangedAttackHitbox:10;FallDamageArea (1)-:10;C1EliteTonpaMob-Rush Attack:20"
"C1_Stage3_3","",31.87,34,0,430.00,11.32,37.9988,5,0,48.00,1.78,26.9142,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",30.00,9,1,0,1,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage3_4","",115.58,1,0,0.00,0.92,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,1,0,0,0,0,""
"C1_Stage3_5","",134.60,83,0,963.00,26.57,36.2478,35,0,447.00,23.15,19.3085,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff};{order:15,from:Staff,to:Shotgun};{order:16,from:Shotgun,to:Staff};{order:17,from:Staff,to:Shotgun};{order:18,from:Shotgun,to:Staff};{order:19,from:Staff,to:Shotgun};{order:20,from:Shotgun,to:Staff};{order:21,from:Staff,to:Shotgun};{order:22,from:Shotgun,to:Staff};{order:23,from:Staff,to:Shotgun};{order:24,from:Shotgun,to:Staff}",150.00,22,5,0,5,1,"C1SandMecha-MeleeHitbox:40;C1GunnerMobPrefab-RangedAttackHitbox:30;C1EliteTonpaMob-Attack:10;C1PistolMob (5)-AttackHitbox:30;C1TonpaMobPrefab-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10;C1TonpaMobPrefab (7)-AttackHitbox:20"
"C1_Stage3_6","",112.80,42,0,360.00,18.28,19.6902,11,0,162.00,6.75,23.9974,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun}",30.00,17,1,9,4,0,"C1EliteTonpaMob (1)-Rush Attack:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:20"
"C1_Stage3_7","",210.28,119,0,0.00,43.60,0.0000,2,0,0.00,1.57,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Staff}",160.00,35,9,11,8,1,"C1MidBoss-TangTang 1:40;C1MidBoss-KickKick 1:20;C1MidBoss-TangTang 2:30;C1MidBoss-KickKick 2:50;C1MidBoss-RushKick:20"
"C1_Boss_1","",63.48,36,0,100.00,12.75,7.8433,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,1,0,0,0,0,"C1TonpaMobPrefab A-AttackHitbox:10"
"C1_Boss_2","",99.92,79,0,977.00,30.42,32.1197,24,0,423.00,15.17,27.8904,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff};{order:15,from:Staff,to:Shotgun};{order:16,from:Shotgun,to:Staff}",70.00,27,0,0,3,0,"C1GunnerMobPrefab (3)-RangedAttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10;C1SandMecha (1)-MeleeHitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab (7)-RangedAttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Boss_3","",78.10,54,0,520.00,21.60,24.0729,21,0,417.00,13.17,31.6707,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff}",70.00,22,2,0,3,0,"C1SandMecha-MeleeHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:10;C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab (7)-AttackHitbox:10;C1GunnerMobPrefab (4)-RangedAttackHitbox:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:10"
"C1_Boss_4","",136.88,65,0,621.00,19.72,31.4948,64,0,991.50,25.40,39.0348,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Shotgun}",220.00,38,3,18,11,3,"C1PistolMob (2)-AttackHitbox:50;C1GunnerMobPrefab (8)-RangedAttackHitbox:20;C1TonpaMobPrefab (2)-AttackHitbox:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:20;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10;C1PistolMob (3)-AttackHitbox:50;C1TonpaMobPrefab (1)-AttackHitbox:10;C1GunnerMobPrefab (6)-RangedAttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:20;C1TonpaMobPrefab (3)-AttackHitbox:10;C1TonpaMobPrefab (8)-AttackHitbox:10"
