SerialNumber,c3c70b2cfcf86c8e6aad388c4b483a062f017a0d
TotalPlayTime,1583.01
TotalDeathCount,2
TotalKilledEnemies,150
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"Hideout_1","",91.05,3,0,0.00,1.70,0.0000,0,0,0.00,0.00,0.0000,0,0,0.00,0.00,0.0000,0,0,0.00,0.00,0.0000,"",0.00,1,0,0,0,0,""
"C1_Boss_2","ShieldOnEvade,ReviveOnce,ExtraDash1",107.38,11,0,0.00,5.50,0.0000,15,1,80.00,17.97,4.4527,0,0,0.00,0.00,0.0000,0,0,0.00,0.00,0.0000,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",20.00,5,0,0,0,0,"C1TonpaMobPrefab A-AttackHitbox:20"
"C1_Boss_3","ShieldOnEvade,ReviveOnce,ExtraDash1",79.58,32,1,383.00,15.43,24.8164,12,1,233.95,13.73,17.0354,0,0,0.00,0.00,0.0000,0,0,0.00,0.00,0.0000,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun}",40.00,14,2,0,1,0,"C1TonpaMobPrefab-AttackHitbox:20;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10;C1GunnerMobPrefab (7)-RangedAttackHitbox:10"
"C1_Boss_4","ShieldOnEvade,ReviveOnce,ExtraDash1",78.75,10,0,84.00,5.58,15.0448,11,3,196.82,16.97,11.6005,0,0,0.00,0.00,0.0000,0,0,0.00,0.00,0.0000,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff}",40.00,11,7,0,1,1,"C1SandMecha-MeleeHitbox:10;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1GunnerMobPrefab (3)-RangedAttackHitbox:10"
"Hideout_1","ShieldOnEvade,ReviveOnce,ExtraDash1",35.63,3,0,0.00,1.63,0.0000,0,0,0.00,0.00,0.0000,0,0,0.00,0.00,0.0000,0,0,0.00,0.00,0.0000,"",0.00,1,0,0,0,0,""
"C1_Boss_2","ShieldOnEvade,ReviveOnce,MaxHPBuff",55.77,17,0,80.00,8.17,9.7959,1,1,0.00,1.52,0.0000,0,0,0.00,0.00,0.0000,0,0,0.00,0.00,0.0000,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,6,0,4,0,0,"C1TonpaMobPrefab A-AttackHitbox:10"
"C1_Boss_3","ShieldOnEvade,ReviveOnce,MaxHPBuff",55.32,61,1,605.00,24.22,24.9829,0,0,0.00,0.00,0.0000,0,0,0.00,0.00,0.0000,0,0,0.00,0.00,0.0000,"",20.00,16,1,0,2,0,"C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_4","ShieldOnEvade,ReviveOnce,MaxHPBuff",53.00,20,2,368.00,10.32,35.6707,6,1,34.94,4.55,7.6785,0,0,0.00,0.00,0.0000,0,0,0.00,0.00,0.0000,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,10,0,0,0,0,"C1SandMecha-MeleeHitbox:10"
"C1_Boss_5","ShieldOnEvade,ReviveOnce,MaxHPBuff",31.67,29,3,467.00,14.32,32.6194,0,0,0.00,0.00,0.0000,0,0,0.00,0.00,0.0000,0,0,0.00,0.00,0.0000,"",10.00,7,1,2,0,0,"C1TonpaMobPrefab (4)-AttackHitbox:10"
"C1_Boss_6","ShieldOnEvade,ReviveOnce,MaxHPBuff",113.55,41,3,606.50,19.55,31.0230,21,3,93.15,22.95,4.0586,0,0,0.00,0.00,0.0000,0,0,0.00,0.00,0.0000,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",50.00,21,3,19,2,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1SandMecha-MeleeHitbox:30;C1SandMecha (1)-MeleeHitbox:10"
