SerialNumber,42df680625a8336c9608a1763a069ad9604b17e9
TotalPlayTime,2863.49
TotalDeathCount,21
TotalKilledEnemies,172
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"Hideout_1","",161.22,0,0,0.00,0.80,0.0000,0,0,0.00,0.00,0.0000,0,0,0.00,0.00,0.0000,0,0,0.00,0.00,0.0000,"",0.00,3,0,0,0,0,""
"C1_Boss_2","ShieldOnEvade,ExtraDash1,ExtraDash2",221.03,93,0,85.00,30.40,2.7961,48,5,0.00,47.68,0.0000,0,0,0.00,0.00,0.0000,0,0,0.00,0.00,0.0000,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",0.00,2,0,38,0,0,""
"C1_Boss_3","ShieldOnEvade,ExtraDash1,ExtraDash2",89.43,38,0,474.00,13.57,34.9388,14,0,120.00,12.30,9.7562,0,0,0.00,0.00,0.0000,0,0,0.00,0.00,0.0000,"{order:1,from:Staff,to:Shotgun}",30.00,13,1,1,2,0,"C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (6)-AttackHitbox:10;C1GunnerMobPrefab (3)-RangedAttackHitbox:10"
"C1_Boss_4","ShieldOnEvade,ExtraDash1,ExtraDash2",89.78,0,0,0.00,0.00,0.0000,37,1,433.67,30.62,14.1647,0,0,0.00,0.00,0.0000,0,0,0.00,0.00,0.0000,"",20.00,24,0,0,1,0,"C1SandMecha-MeleeHitbox:20"
"C1_Boss_5","ShieldOnEvade,ExtraDash1,ExtraDash2",47.00,0,0,0.00,0.00,0.0000,28,0,440.00,25.42,17.3115,0,0,0.00,0.00,0.0000,0,0,0.00,0.00,0.0000,"",30.00,23,0,0,2,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Boss_6","ShieldOnEvade,ExtraDash1,ExtraDash2",150.97,52,0,672.70,34.13,19.7080,44,2,604.24,37.52,16.1060,0,0,0.00,0.00,0.0000,0,0,0.00,0.00,0.0000,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",50.00,37,0,2,5,1,"C1TonpaMobPrefab (8)-AttackHitbox:10;C1SandMecha (1)-DashAttackHitbox:10;C1SandMecha-MeleeHitbox:20;C1GunnerMobPrefab-RepelAttackHitbox:10"
"C1_Boss_7","ShieldOnEvade,ExtraDash1,ExtraDash2",36.15,0,0,0.00,0.00,0.0000,21,0,320.00,19.98,16.0134,0,0,0.00,0.00,0.0000,0,0,0.00,0.00,0.0000,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun}",10.00,12,0,2,1,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_8","ShieldOnEvade,ExtraDash1,ExtraDash2",656.98,128,4,1639.93,96.32,17.0265,149,8,2009.77,160.12,12.5519,0,0,0.00,0.00,0.0000,0,0,0.00,0.00,0.0000,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Staff};{order:3,from:Staff,to:Shotgun}",230.00,178,0,24,43,5,"C1Boss-DashAttackHitbox:110;C1CannonExplode(Clone)-C1CannonExplode(Clone):50;C1Boss-CounterAttackHitbox:20;C1TonpaMobPrefab(Clone)-AttackHitbox:10;C1Boss-FlameThrowerMainHitbox:20;C1Boss-FlameThrowerMiddleHitbox:10;C1Boss-MeleeAttack1Hitbox:10"
"Hideout_1","ShieldOnEvade,ExtraDash1,ExtraDash2",145.92,0,0,0.00,0.00,0.0000,0,0,0.00,2.40,0.0000,0,0,0.00,0.00,0.0000,0,0,0.00,0.00,0.0000,"",0.00,9,0,0,0,0,""
"C2_Boss_2","ShieldOnEvade,IncreaseGearLevelOnHit,GenerateShieldOnHit,ExtraDash1",129.68,0,0,0.00,0.27,0.0000,28,0,200.00,33.52,5.9660,0,0,0.00,0.00,0.0000,0,0,0.00,0.00,0.0000,"{order:1,from:Staff,to:Shotgun}",20.00,33,3,35,0,0,"C2GunnerMobPrefab-RangedAttackHitbox:0;C2ShieldMobPrefab-ShieldAttackHitbox:10;C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_3","ShieldOnEvade,IncreaseGearLevelOnHit,GenerateShieldOnHit,ExtraDash1",440.33,233,5,2387.96,192.33,12.4157,39,0,280.00,36.52,7.6678,0,0,0.00,0.00,0.0000,0,0,0.00,0.00,0.0000,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Staff};{order:3,from:Staff,to:Staff};{order:4,from:Staff,to:Staff};{order:5,from:Staff,to:Staff}",220.00,120,0,51,10,6,"C2GunnerMobPrefab (2)-RangedAttackHitbox:50;C2GunnerMobPrefab-RangedAttackHitbox:100;C2EliteMobPrefab-RushAttackHitBox:50;C2GunnerMobPrefab (1)-RepelAttackHitbox:10;C2ShieldMobPrefab (2)-ShieldAttackHitbox:10"
